,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
24,24,1994,1994-10-30,8,9,24.225,SEA,@,SDG,L 15-35,*,15,30,50.00,177,0,0,68.3,3,6,5.90,5.90,3,7,2.33,0,,0,0,1,0,0,0,-4,0,,Rick Mirer,MireRi00
25,25,1994,1994-11-06,9,10,24.232,SEA,,CIN,L 17-20,*,13,32,40.63,181,0,0,59.5,3,11,5.66,5.66,1,12,12.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
26,26,1994,1994-11-13,10,11,24.239,SEA,@,DEN,L 10-17,*,10,29,34.48,133,0,0,49.9,2,2,4.59,4.59,3,7,2.33,0,,0,0,0,,0,1,0,0,,Rick Mirer,MireRi00
27,27,1994,1994-11-20,11,12,24.246,SEA,,TAM,W 22-21,*,13,25,52.00,127,2,1,76.6,1,10,5.08,4.88,4,20,5.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
28,28,1994,1994-11-27,12,13,24.253,SEA,,KAN,W 10-9,*,15,31,48.39,195,0,0,68.6,2,11,6.29,6.29,3,4,1.33,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
29,29,1994,1994-12-04,13,14,24.260,SEA,,IND,L 19-31,*,5,13,38.46,28,1,1,40.2,0,0,2.15,0.23,1,8,8.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
30,30,1994,1994-12-11,14,15,,SEA,@,HOU,W 16-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
31,31,1994,1994-12-18,15,16,,SEA,,RAI,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
32,32,1994,1994-12-24,16,17,,SEA,@,CLE,L 9-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rick Mirer,MireRi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rick Mirer,MireRi00
