,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
21,21,1986,1986-11-02,9,9,22.342,CLE,@,IND,W 24-9,*,15,25,60.00,238,3,0,131.3,3,25,9.52,11.92,3,-2,-0.67,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
22,22,1986,1986-11-10,10,10,22.350,CLE,,MIA,W 26-16,*,32,50,64.00,401,0,0,88.8,2,11,8.02,8.02,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
23,23,1986,1986-11-16,11,11,22.356,CLE,@,RAI,L 14-27,*,15,34,44.12,188,0,2,37.4,6,43,5.53,2.88,1,2,2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
24,24,1986,1986-11-23,12,12,22.363,CLE,,PIT,W 37-31,*,28,46,60.87,414,2,1,95.7,0,0,9.00,8.89,1,-1,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
25,25,1986,1986-11-30,13,13,23.005,CLE,,HOU,W 13-10,*,16,41,39.02,172,1,3,29.7,2,2,4.20,1.39,2,12,6.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
26,26,1986,1986-12-07,14,14,23.012,CLE,@,BUF,W 21-17,*,18,33,54.55,240,1,0,87.9,3,10,7.27,7.88,4,-4,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
27,27,1986,1986-12-14,15,15,23.019,CLE,@,CIN,W 34-3,*,13,29,44.83,246,1,0,86.3,0,0,8.48,9.17,1,-7,-7.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
28,28,1986,1986-12-21,16,16,23.026,CLE,,SDG,W 47-17,*,21,28,75.00,258,2,0,126.8,2,12,9.21,10.64,1,17,17.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
29,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Bernie Kosar,KosaBe00
30,29,1987,1987-09-13,1,1,23.292,CLE,@,NOR,L 21-28,*,28,39,71.79,314,2,1,101.9,4,20,8.05,7.92,1,3,3.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Bernie Kosar,KosaBe00
