,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
12,13,2006,2006-12-10,13,14,,MIN,@,DET,W 30-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
13,14,2006,2006-12-17,14,15,23.240,MIN,,NYJ,L 13-26,,14,23,60.87,177,1,1,81.3,0,0,7.70,6.61,3,20,6.67,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
14,15,2006,2006-12-21,15,16,23.244,MIN,@,GNB,L 7-9,*,10,20,50.00,50,0,1,35.4,3,23,2.50,0.25,5,23,4.60,0,,0,0,1,0,0,1,0,0,,,,,,,,Tarvaris Jackson,JackTa00
15,16,2006,2006-12-31,16,17,23.254,MIN,,STL,L 21-41,*,20,34,58.82,213,1,2,62.5,4,14,6.26,4.21,7,34,4.86,1,,1,6,2,0,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Tarvaris Jackson,JackTa00
17,17,2007,2007-09-09,1,1,24.141,MIN,,ATL,W 24-3,*,13,23,56.52,163,1,1,75.1,0,0,7.09,6.00,2,10,5.00,0,,0,0,0,0,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
18,18,2007,2007-09-16,2,2,24.148,MIN,@,DET,L 17-20,*,17,33,51.52,166,0,4,26.4,1,0,5.03,-0.42,5,16,3.20,1,,1,6,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
19,19,2007,2007-09-23,3,3,,MIN,@,KAN,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tarvaris Jackson,JackTa00
20,20,2007,2007-09-30,4,4,,MIN,,GNB,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tarvaris Jackson,JackTa00
21,21,2007,2007-10-14,5,6,24.176,MIN,@,CHI,W 34-31,*,9,23,39.13,136,1,0,73.8,1,3,5.91,6.78,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
