,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
9,9,1991,1991-10-06,6,6,,DET,,MIN,W 24-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
10,10,1991,1991-10-20,7,8,26.348,DET,@,SFO,L 3-35,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
11,11,1991,1991-10-27,8,9,26.355,DET,,DAL,W 34-10,,9,16,56.25,108,2,0,116.7,0,0,6.75,9.25,6,15,2.50,0,0,0,1,,0,1,0,0,,Erik Kramer,KramEr00
12,12,1991,1991-11-03,9,10,26.362,DET,@,CHI,L 10-20,*,19,40,47.50,218,1,2,51.9,3,15,5.45,3.70,0,0,,0,0,0,1,,0,0,0,0,,Erik Kramer,KramEr00
13,13,1991,1991-11-10,10,11,27.004,DET,@,TAM,L 21-30,*,20,30,66.67,248,0,2,64.3,4,22,8.27,5.27,1,1,1.00,1,1,6,2,,0,0,0,0,,Erik Kramer,KramEr00
14,14,1991,1991-11-17,11,12,27.011,DET,,RAM,W 21-10,*,15,25,60.00,185,3,0,122.5,1,4,7.40,9.80,5,7,1.40,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
15,15,1991,1991-11-24,12,13,27.018,DET,@,MIN,W 34-14,*,13,26,50.00,124,0,0,63.6,1,8,4.77,4.77,3,4,1.33,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
16,16,1991,1991-11-28,13,14,27.022,DET,,CHI,W 16-6,*,9,27,33.33,108,1,1,43.4,0,0,4.00,3.07,4,0,0.00,0,0,0,2,,0,2,-1,0,,Erik Kramer,KramEr00
17,17,1991,1991-12-08,14,15,27.032,DET,,NYJ,W 34-20,*,18,31,58.06,235,1,1,79.4,0,0,7.58,6.77,7,-11,-1.57,0,0,0,1,,0,1,-4,0,,Erik Kramer,KramEr00
18,18,1991,1991-12-15,15,16,27.039,DET,@,GNB,W 21-17,*,14,29,48.28,131,2,0,84.1,4,19,4.52,5.90,1,9,9.00,0,0,0,1,,0,0,0,0,,Erik Kramer,KramEr00
19,19,1991,1991-12-22,16,17,27.046,DET,@,BUF,W 17-14,*,17,36,47.22,251,0,2,47.3,1,6,6.97,4.47,5,3,0.60,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
20,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Erik Kramer,KramEr00
21,20,1992,1992-09-06,1,1,,DET,@,CHI,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
22,21,1992,1992-09-13,2,2,,DET,,MIN,W 31-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
23,22,1992,1992-09-20,3,3,,DET,@,WAS,L 10-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
24,23,1992,1992-09-27,4,4,,DET,,TAM,L 23-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
25,24,1992,1992-10-04,5,5,,DET,,NOR,L 7-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
26,25,1992,1992-10-15,6,7,27.344,DET,@,MIN,L 14-31,,5,6,83.33,81,1,0,158.3,3,15,13.50,16.83,1,5,5.00,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
27,26,1992,1992-10-25,7,8,27.354,DET,@,TAM,W 38-7,,3,5,60.00,28,0,0,75.4,0,0,5.60,5.60,1,-2,-2.00,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
28,27,1992,1992-11-01,8,9,27.361,DET,,GNB,L 13-27,,3,5,60.00,33,0,0,79.6,0,0,6.60,6.60,0,0,,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
29,28,1992,1992-11-08,9,10,28.002,DET,,DAL,L 3-37,,3,7,42.86,21,0,1,10.7,0,0,3.00,-3.43,1,6,6.00,0,0,0,0,,0,0,0,0,,Erik Kramer,KramEr00
30,29,1992,1992-11-15,10,11,28.009,DET,@,PIT,L 14-17,*,20,37,54.05,304,1,2,67.8,3,18,8.22,6.32,2,-4,-2.00,0,0,0,2,,0,1,-1,0,,Erik Kramer,KramEr00
31,30,1992,1992-11-22,11,12,28.016,DET,@,CIN,W 19-13,*,12,25,48.00,141,0,3,26.0,5,25,5.64,0.24,4,10,2.50,0,0,0,1,,0,0,0,0,,Erik Kramer,KramEr00
32,31,1992,1992-11-26,12,13,28.020,DET,,HOU,L 21-24,*,12,21,57.14,163,2,2,74.2,4,22,7.76,5.38,3,19,6.33,0,0,0,1,,0,0,0,0,,Erik Kramer,KramEr00
33,32,1992,1992-12-06,13,14,,DET,@,GNB,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Erik Kramer,KramEr00
34,33,1992,1992-12-13,14,15,,DET,,CLE,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Erik Kramer,KramEr00
35,34,1992,1992-12-20,15,16,,DET,,CHI,W 16-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Erik Kramer,KramEr00
36,35,1992,1992-12-28,16,17,,DET,@,SFO,L 6-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Erik Kramer,KramEr00
37,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Erik Kramer,KramEr00
38,36,1993,1993-09-05,1,1,,DET,,ATL,W 30-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Erik Kramer,KramEr00
