,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
15,16,2015,2016-01-03,16,17,,TEN,@,IND,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Mariota,MariMa01
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Marcus Mariota,MariMa01
17,17,2016,2016-09-11,1,1,22.317,TEN,,MIN,L 16-25,*,25,41,60.98,271,2,1,86.5,2,19,6.61,6.49,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-1,0,66,99%,0,0%,0,0%,,Marcus Mariota,MariMa01
18,18,2016,2016-09-18,2,2,22.324,TEN,@,DET,W 16-15,*,25,33,75.76,238,2,1,102.8,3,14,7.21,7.06,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,66,99%,0,0%,0,0%,,Marcus Mariota,MariMa01
19,19,2016,2016-09-25,3,3,22.331,TEN,,OAK,L 10-17,*,17,33,51.52,214,0,2,46.8,1,2,6.48,3.76,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,68,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
20,20,2016,2016-10-02,4,4,22.338,TEN,@,HOU,L 20-27,*,13,29,44.83,202,0,1,54.1,1,6,6.97,5.41,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
21,21,2016,2016-10-09,5,5,22.345,TEN,@,MIA,W 30-17,*,20,29,68.97,163,3,0,117.5,0,0,5.62,7.69,7,60,8.57,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
22,22,2016,2016-10-16,6,6,22.352,TEN,,CLE,W 28-26,*,17,24,70.83,284,3,1,132.6,2,14,11.83,12.46,7,64,9.14,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
23,23,2016,2016-10-23,7,7,22.359,TEN,,IND,L 26-34,*,22,37,59.46,232,2,0,95.8,3,25,6.27,7.35,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-9,0,73,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
24,24,2016,2016-10-27,8,8,22.363,TEN,,JAX,W 36-22,*,18,22,81.82,270,2,0,148.1,0,0,12.27,14.09,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-12,0,60,90%,0,0%,0,0%,,Marcus Mariota,MariMa01
25,25,2016,2016-11-06,9,9,23.007,TEN,@,SDG,L 35-43,*,27,43,62.79,313,3,2,88.6,0,0,7.28,6.58,3,14,4.67,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,65,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
26,26,2016,2016-11-13,10,10,23.014,TEN,,GNB,W 47-25,*,19,26,73.08,295,4,0,149.8,1,13,11.35,14.42,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
27,27,2016,2016-11-20,11,11,23.021,TEN,@,IND,L 17-24,*,25,38,65.79,290,2,0,106.2,5,36,7.63,8.68,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
28,28,2016,2016-11-27,12,12,23.028,TEN,@,CHI,W 27-21,*,15,23,65.22,226,2,0,126.4,0,0,9.83,11.57,4,46,11.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
