,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
18,18,2004,2004-09-19,2,2,24.249,JAX,,DEN,W 7-6,*,8,16,50.00,120,1,0,95.8,1,4,7.50,8.75,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
19,19,2004,2004-09-26,3,3,24.256,JAX,@,TEN,W 15-12,*,14,20,70.00,124,1,0,102.9,2,7,6.20,7.20,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,,,,,,,,Byron Leftwich,LeftBy00
20,20,2004,2004-10-03,4,4,24.263,JAX,,IND,L 17-24,*,29,41,70.73,318,1,0,101.5,1,7,7.76,8.24,0,0,,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
21,21,2004,2004-10-10,5,5,24.270,JAX,@,SDG,L 21-34,*,36,54,66.67,357,1,2,75.9,3,8,6.61,5.31,3,10,3.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
22,22,2004,2004-10-17,6,6,24.277,JAX,,KAN,W 22-16,*,24,36,66.67,298,2,0,110.6,4,21,8.28,9.39,3,25,8.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
23,23,2004,2004-10-24,7,7,24.284,JAX,@,IND,W 27-24,*,23,30,76.67,300,2,1,116.0,3,14,10.00,9.83,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
24,24,2004,2004-10-31,8,8,24.291,JAX,@,HOU,L 6-20,*,25,40,62.50,227,0,2,57.0,1,7,5.68,3.43,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
25,25,2004,2004-11-21,10,11,,JAX,,TEN,L 15-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
26,26,2004,2004-11-28,11,12,24.319,JAX,@,MIN,L 16-27,*,19,34,55.88,235,1,0,87.3,2,10,6.91,7.50,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
27,27,2004,2004-12-05,12,13,24.326,JAX,,PIT,L 16-17,*,16,27,59.26,268,1,0,105.2,2,9,9.93,10.67,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Byron Leftwich,LeftBy00
