,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
36,35,1994,1994-09-18,3,3,,RAM,,SFO,L 19-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
37,36,1994,1994-09-25,4,4,,RAM,@,KAN,W 16-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tommy Maddox,MaddTo00
38,37,1994,1994-10-02,5,5,23.030,RAM,,ATL,L 5-8,,7,15,46.67,86,0,2,25.3,0,0,5.73,-0.27,1,1,1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Tommy Maddox,MaddTo00
39,38,1994,1994-10-09,6,6,23.037,RAM,@,GNB,L 17-24,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
40,39,1994,1994-10-16,7,7,,RAM,,NYG,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
41,40,1994,1994-10-23,8,8,,RAM,@,NOR,L 34-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
42,41,1994,1994-11-06,9,10,,RAM,,DEN,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
43,42,1994,1994-11-13,10,11,,RAM,,RAI,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
44,43,1994,1994-11-20,11,12,23.079,RAM,@,SFO,L 27-31,,3,4,75.00,55,0,0,116.7,0,0,13.75,13.75,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,Tommy Maddox,MaddTo00
45,44,1994,1994-11-27,12,13,23.086,RAM,@,SDG,L 17-31,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
46,45,1994,1994-12-04,13,14,,RAM,,NOR,L 15-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
47,46,1994,1994-12-11,14,15,,RAM,@,TAM,L 14-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
48,47,1994,1994-12-18,15,16,,RAM,@,CHI,L 13-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tommy Maddox,MaddTo00
49,48,1994,1994-12-24,16,17,23.113,RAM,,WAS,L 21-24,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Tommy Maddox,MaddTo00
51,49,1995,1995-09-04,1,1,24.002,NYG,,DAL,L 0-35,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
52,50,1995,1995-09-10,2,2,24.008,NYG,@,KAN,L 17-20,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
53,51,1995,1995-09-17,3,3,24.015,NYG,@,GNB,L 6-14,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
54,52,1995,1995-09-24,4,4,24.022,NYG,,NOR,W 45-29,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
55,53,1995,1995-10-01,5,5,24.029,NYG,@,SFO,L 6-20,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
56,54,1995,1995-10-08,6,6,24.036,NYG,,ARI,W 27-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
57,55,1995,1995-10-15,7,7,24.043,NYG,,PHI,L 14-17,,6,23,26.09,49,0,3,0.0,1,3,2.13,-3.74,1,4,4.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Tommy Maddox,MaddTo00
