,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
24,23,1991,1991-09-22,4,4,25.190,DET,@,IND,W 33-24,*,17,23,73.91,167,0,2,57.7,0,0,7.26,3.35,8,26,3.25,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
25,24,1991,1991-09-29,5,5,25.197,DET,,TAM,W 31-3,*,12,22,54.55,159,1,1,73.9,2,12,7.23,6.09,3,34,11.33,0,0,0,2,,0,1,-1,0,,Rodney Peete,PeetRo00
26,25,1991,1991-10-06,6,6,25.204,DET,,MIN,W 24-20,*,24,38,63.16,281,2,1,92.1,3,5,7.39,7.26,2,8,4.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
27,26,1991,1991-10-20,7,8,25.218,DET,@,SFO,L 3-35,*,14,24,58.33,183,0,1,65.1,0,0,7.63,5.75,1,-2,-2.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
28,27,1991,1991-10-27,8,9,25.225,DET,,DAL,W 34-10,*,3,3,100.00,30,0,0,108.3,1,2,10.00,10.00,1,2,2.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
29,28,1991,1991-11-03,9,10,,DET,@,CHI,L 10-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
30,29,1991,1991-11-10,10,11,,DET,@,TAM,L 21-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
31,30,1991,1991-11-17,11,12,,DET,,RAM,W 21-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
32,31,1991,1991-11-24,12,13,,DET,@,MIN,W 34-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
33,32,1991,1991-11-28,13,14,,DET,,CHI,W 16-6,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
34,33,1991,1991-12-08,14,15,,DET,,NYJ,W 34-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
35,34,1991,1991-12-15,15,16,,DET,@,GNB,W 21-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
36,35,1991,1991-12-22,16,17,,DET,@,BUF,W 17-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
37,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rodney Peete,PeetRo00
38,36,1992,1992-09-06,1,1,26.174,DET,@,CHI,L 24-27,*,18,26,69.23,273,2,1,113.1,6,41,10.50,10.31,4,12,3.00,0,0,0,1,,0,1,-2,0,,Rodney Peete,PeetRo00
39,37,1992,1992-09-13,2,2,26.181,DET,,MIN,W 31-17,*,10,15,66.67,105,1,1,81.2,2,9,7.00,5.33,3,7,2.33,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
40,38,1992,1992-09-20,3,3,26.188,DET,@,WAS,L 10-13,*,14,26,53.85,181,1,1,72.8,2,12,6.96,6.00,3,3,1.00,0,0,0,2,,0,0,0,0,,Rodney Peete,PeetRo00
41,39,1992,1992-09-27,4,4,26.195,DET,,TAM,L 23-27,*,20,31,64.52,323,1,0,110.0,3,25,10.42,11.06,0,0,,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
42,40,1992,1992-10-04,5,5,26.202,DET,,NOR,L 7-13,*,15,30,50.00,173,1,0,78.9,6,28,5.77,6.43,2,6,3.00,0,0,0,1,,0,0,-3,0,,Rodney Peete,PeetRo00
43,41,1992,1992-10-15,6,7,26.213,DET,@,MIN,L 14-31,*,13,23,56.52,171,0,2,43.9,2,11,7.43,3.52,1,10,10.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
44,42,1992,1992-10-25,7,8,26.223,DET,@,TAM,W 38-7,*,11,19,57.89,208,3,1,113.6,0,0,10.95,11.74,2,16,8.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
45,43,1992,1992-11-01,8,9,26.230,DET,,GNB,L 13-27,*,14,28,50.00,148,0,1,50.9,4,29,5.29,3.68,0,0,,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
46,44,1992,1992-11-08,9,10,26.237,DET,,DAL,L 3-37,*,6,10,60.00,69,0,2,41.2,2,13,6.90,-2.10,2,9,4.50,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
47,45,1992,1992-11-15,10,11,,DET,@,PIT,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
48,46,1992,1992-11-22,11,12,,DET,@,CIN,W 19-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
49,47,1992,1992-11-26,12,13,,DET,,HOU,L 21-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
50,48,1992,1992-12-06,13,14,26.265,DET,@,GNB,L 10-38,*,2,5,40.00,51,0,0,77.9,1,2,10.20,10.20,4,20,5.00,0,0,0,2,,0,1,-2,0,,Rodney Peete,PeetRo00
51,49,1992,1992-12-13,14,15,,DET,,CLE,W 24-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
52,50,1992,1992-12-20,15,16,,DET,,CHI,W 16-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
53,51,1992,1992-12-28,16,17,,DET,@,SFO,L 6-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
54,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rodney Peete,PeetRo00
55,52,1993,1993-09-05,1,1,27.173,DET,,ATL,W 30-13,*,11,20,55.00,178,1,0,101.7,2,12,8.90,9.90,4,14,3.50,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
56,53,1993,1993-09-12,2,2,27.180,DET,@,NWE,W 19-16,*,16,25,64.00,175,0,3,45.0,3,21,7.00,1.60,8,20,2.50,0,0,0,2,,0,0,-4,0,,Rodney Peete,PeetRo00
57,54,1993,1993-09-19,3,3,27.187,DET,@,NOR,L 3-14,*,12,17,70.59,99,0,0,85.2,5,30,5.82,5.82,3,8,2.67,0,0,0,3,,0,0,0,0,,Rodney Peete,PeetRo00
58,55,1993,1993-09-26,4,4,,DET,,PHO,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
59,56,1993,1993-10-03,5,5,,DET,@,TAM,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
60,57,1993,1993-10-17,6,7,27.215,DET,,SEA,W 30-10,*,14,26,53.85,157,2,1,81.7,2,6,6.04,5.85,4,26,6.50,0,0,0,1,,0,1,0,0,,Rodney Peete,PeetRo00
61,58,1993,1993-10-24,7,8,27.222,DET,@,RAM,W 16-13,*,15,25,60.00,249,0,1,76.9,4,20,9.96,8.16,4,30,7.50,0,0,0,1,,0,1,0,0,,Rodney Peete,PeetRo00
62,59,1993,1993-10-31,8,9,27.229,DET,@,MIN,W 30-27,*,20,28,71.43,273,1,2,84.4,2,13,9.75,7.25,8,13,1.63,0,0,0,1,,0,1,0,0,,Rodney Peete,PeetRo00
63,60,1993,1993-11-07,9,10,27.236,DET,,TAM,W 23-0,*,16,22,72.73,134,0,0,88.1,2,9,6.09,6.09,3,20,6.67,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
64,61,1993,1993-11-21,10,12,27.250,DET,@,GNB,L 17-26,*,13,25,52.00,100,2,1,72.1,2,11,4.00,3.80,4,3,0.75,0,0,0,1,,0,1,-4,0,,Rodney Peete,PeetRo00
65,62,1993,1993-11-25,11,13,27.254,DET,,CHI,L 6-10,*,22,34,64.71,167,0,2,52.0,5,21,4.91,2.26,3,15,5.00,0,0,0,2,,0,0,0,0,,Rodney Peete,PeetRo00
66,63,1993,1993-12-05,12,14,27.264,DET,,MIN,L 0-13,*,18,30,60.00,138,0,4,31.7,7,31,4.60,-1.40,4,16,4.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
67,64,1993,1993-12-12,13,15,,DET,@,PHO,W 21-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
68,65,1993,1993-12-19,14,16,,DET,,SFO,L 17-55,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
69,66,1993,1993-12-26,15,17,,DET,@,CHI,W 20-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
70,67,1993,1994-01-02,16,18,,DET,,GNB,W 30-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rodney Peete,PeetRo00
