,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
170,158,1961,1961-11-19,10,10,34.335,PIT,@,NYG,L 21-42,,6,8,75.00,100,1,0,156.2,2,14,12.50,15.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
171,159,1961,1961-11-26,11,11,34.342,PIT,,STL,W 30-27,*,10,25,40.00,187,1,4,40.3,,,7.48,1.08,1,1,1.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
172,160,1961,1961-12-03,12,12,34.349,PIT,,PHI,L 24-35,,13,29,44.83,179,3,3,60.1,1,3,6.17,3.59,3,1,0.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
173,161,1961,1961-12-10,13,13,34.356,PIT,@,WAS,W 30-14,*,13,19,68.42,226,4,0,148.2,1,12,11.89,16.11,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
174,162,1961,1961-12-17,14,14,34.363,PIT,@,STL,L 0-20,*,9,19,47.37,139,0,2,32.5,4,27,7.32,2.58,1,1,1.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
175,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Bobby Layne,LaynBo00
176,163,1962,1962-09-16,1,1,35.271,PIT,@,DET,L 7-45,,5,10,50.00,76,0,0,75.4,1,11,7.60,7.60,1,6,6.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
177,164,1962,1962-09-23,2,2,35.278,PIT,@,DAL,W 30-28,*,10,24,41.67,144,2,1,72.2,,,6.00,5.79,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
178,165,1962,1962-09-30,3,3,35.285,PIT,,NYG,L 27-31,*,12,23,52.17,166,1,2,53.9,3,24,7.22,4.17,3,1,0.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
179,166,1962,1962-10-06,4,4,35.291,PIT,,PHI,W 13-7,*,11,18,61.11,132,0,2,44.0,,,7.33,2.33,1,0,0.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
180,167,1962,1962-10-14,5,5,35.299,PIT,@,NYG,W 20-17,*,5,10,50.00,72,1,0,107.1,,,7.20,9.20,4,5,1.25,1,,,,,,,1,6,Bobby Layne,LaynBo00
181,168,1962,1962-10-21,6,6,35.306,PIT,,DAL,L 27-42,*,15,30,50.00,266,2,2,75.1,2,16,8.87,7.20,1,-7,-7.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
182,169,1962,1962-10-28,7,7,35.313,PIT,,CLE,L 14-41,*,3,9,33.33,44,0,1,10.6,3,34,4.89,-0.11,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
183,170,1962,1962-11-04,8,8,35.320,PIT,,MIN,W 39-31,*,16,28,57.14,254,0,1,72.6,3,27,9.07,7.46,2,28,14.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
184,171,1962,1962-11-11,9,9,35.327,PIT,@,STL,W 26-17,*,8,14,57.14,79,1,0,97.0,3,20,5.64,7.07,1,-4,-4.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
185,172,1962,1962-11-18,10,10,35.334,PIT,,WAS,W 23-21,*,8,23,34.78,87,0,3,7.2,2,15,3.78,-2.09,2,-4,-2.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
186,173,1962,1962-11-25,11,11,35.341,PIT,@,CLE,L 14-35,*,13,23,56.52,155,0,1,59.1,1,11,6.74,4.78,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
187,174,1962,1962-12-09,13,13,35.355,PIT,@,PHI,W 26-17,,2,4,50.00,10,0,2,16.7,,,2.50,-20.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
188,175,1962,1962-12-16,14,14,35.362,PIT,@,WAS,W 27-24,*,8,17,47.06,201,2,2,90.2,5,35,11.82,8.88,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
189,,,175 Games,,,,,,,102-66-7,,1814,3700,49.03,26768,196,243,63.4,36,1588,7.23,5.34,583,2405,4.13,25,26,27,96.3,5,6,83.3,25,191,Bobby Layne,LaynBo00
