,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
47,43,1985,1985-10-20,7,7,27.000,SEA,@,DEN,L 10-13,*,9,32,28.13,115,1,3,13.4,5,38,3.59,0.00,3,1,0.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
48,44,1985,1985-10-27,8,8,27.007,SEA,@,NYJ,L 14-17,*,9,20,45.00,148,1,2,47.5,3,34,7.40,3.90,4,28,7.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
49,45,1985,1985-11-03,9,9,27.014,SEA,,RAI,W 33-3,*,9,21,42.86,143,2,0,97.9,2,10,6.81,8.71,2,3,1.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
50,46,1985,1985-11-10,10,10,27.021,SEA,@,NOR,W 27-3,*,21,28,75.00,282,1,0,118.5,3,26,10.07,10.79,2,14,7.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
51,47,1985,1985-11-17,11,11,27.028,SEA,,NWE,L 13-20,*,19,43,44.19,229,0,3,32.0,5,40,5.33,2.19,4,24,6.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Dave Krieg,KrieDa00
52,48,1985,1985-11-25,12,12,27.036,SEA,@,SFO,L 6-19,*,11,30,36.67,139,0,1,38.1,4,26,4.63,3.13,1,7,7.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
53,49,1985,1985-12-01,13,13,27.042,SEA,,KAN,W 24-6,*,21,34,61.76,254,2,1,92.0,2,11,7.47,7.32,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
54,50,1985,1985-12-08,14,14,27.049,SEA,,CLE,W 31-13,*,24,34,70.59,268,4,0,133.0,2,22,7.88,10.24,1,-1,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
55,51,1985,1985-12-15,15,15,27.056,SEA,@,RAI,L 3-13,*,16,33,48.48,184,0,2,40.5,4,34,5.58,2.85,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
56,52,1985,1985-12-20,16,16,27.061,SEA,,DEN,L 24-27,*,17,40,42.50,216,1,1,57.9,1,11,5.40,4.78,1,13,13.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
57,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Dave Krieg,KrieDa00
58,53,1986,1986-09-07,1,1,27.322,SEA,,PIT,W 30-0,*,21,33,63.64,195,2,2,74.7,3,23,5.91,4.39,1,4,4.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
59,54,1986,1986-09-14,2,2,27.329,SEA,,KAN,W 23-17,*,21,35,60.00,203,1,1,73.9,0,0,5.80,5.09,4,31,7.75,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
60,55,1986,1986-09-21,3,3,27.336,SEA,@,NWE,W 38-31,*,9,20,45.00,207,2,0,116.0,3,24,10.35,12.35,5,1,0.20,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
