,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
17,17,1992,1992-09-14,1,2,24.256,MIA,@,CLE,W 27-23,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
18,18,1992,1992-09-20,2,3,24.262,MIA,,RAM,W 26-10,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
19,19,1992,1992-09-27,3,4,24.269,MIA,@,SEA,W 19-17,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0,0,,0,0,0,0,,Scott Mitchell,MitcSc00
20,20,1992,1992-10-04,4,5,24.276,MIA,@,BUF,W 37-10,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Scott Mitchell,MitcSc00
21,21,1992,1992-10-11,5,6,24.283,MIA,,ATL,W 21-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
22,22,1992,1992-10-18,6,7,24.290,MIA,,NWE,W 38-17,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,4,5,1.25,0,0,0,1,,0,0,-1,0,,Scott Mitchell,MitcSc00
23,23,1992,1992-10-25,7,8,24.297,MIA,,IND,L 20-31,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
24,24,1992,1992-11-01,8,9,24.304,MIA,@,NYJ,L 14-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
25,25,1992,1992-11-08,9,10,24.311,MIA,@,IND,W 28-0,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0,0,0,0,,0,0,0,0,,Scott Mitchell,MitcSc00
26,26,1992,1992-11-16,10,11,24.319,MIA,,BUF,L 20-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Scott Mitchell,MitcSc00
