,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
28,26,1961,1961-12-03,12,12,25.252,DET,@,CHI,W 16-15,*,10,19,52.63,113,1,2,48.7,4,45,5.95,2.26,2,13,6.50,0,0,0,Jim Ninowski,NinoJi00
29,27,1961,1961-12-10,13,13,25.259,DET,,MIN,W 13-7,,8,20,40.00,157,0,1,47.3,1,13,7.85,5.60,4,8,2.00,1,1,6,Jim Ninowski,NinoJi00
30,28,1961,1961-12-17,14,14,25.266,DET,,PHI,L 24-27,*,16,26,61.54,285,1,1,95.8,2,19,10.96,10.00,5,47,9.40,1,1,6,Jim Ninowski,NinoJi00
31,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
32,29,1962,1962-09-16,1,1,26.174,CLE,,NYG,W 17-7,*,8,19,42.11,147,1,1,65.0,2,16,7.74,6.42,3,5,1.67,0,0,0,Jim Ninowski,NinoJi00
33,30,1962,1962-09-23,2,2,26.181,CLE,,WAS,L 16-17,*,19,34,55.88,224,0,1,63.8,,,6.59,5.26,2,15,7.50,0,0,0,Jim Ninowski,NinoJi00
34,31,1962,1962-09-30,3,3,26.188,CLE,@,PHI,L 7-35,*,9,27,33.33,60,0,3,2.8,3,20,2.22,-2.78,1,-1,-1.00,0,0,0,Jim Ninowski,NinoJi00
35,32,1962,1962-10-07,4,4,26.195,CLE,,DAL,W 19-10,*,15,25,60.00,169,1,1,76.9,,,6.76,5.76,3,-4,-1.33,0,0,0,Jim Ninowski,NinoJi00
36,33,1962,1962-10-14,5,5,26.202,CLE,,BAL,L 14-36,*,16,32,50.00,223,2,2,67.6,1,7,6.97,5.41,,,,,0,0,Jim Ninowski,NinoJi00
37,34,1962,1962-10-21,6,6,26.209,CLE,@,STL,W 34-7,*,19,29,65.52,339,3,0,139.9,1,8,11.69,13.76,,,,,0,0,Jim Ninowski,NinoJi00
38,35,1962,1962-10-28,7,7,26.216,CLE,@,PIT,W 41-14,*,1,7,14.29,16,0,0,39.6,1,6,2.29,2.29,,,,,0,0,Jim Ninowski,NinoJi00
39,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
40,36,1963,1963-10-20,6,6,27.208,CLE,,PHI,W 37-7,,4,5,80.00,86,0,0,118.7,0,0,17.20,17.20,,,,,0,0,Jim Ninowski,NinoJi00
41,37,1963,1963-10-27,7,7,27.215,CLE,,NYG,L 6-33,,4,11,36.36,120,1,1,70.3,2,23,10.91,8.64,,,,,0,0,Jim Ninowski,NinoJi00
42,38,1963,1963-11-17,10,10,27.236,CLE,,STL,L 14-20,*,15,28,53.57,167,1,2,53.7,2,22,5.96,3.46,4,-21,-5.25,0,0,0,Jim Ninowski,NinoJi00
43,39,1963,1963-12-08,13,13,27.257,CLE,@,DET,L 10-38,,6,17,35.29,50,0,3,4.4,0,0,2.94,-5.00,1,2,2.00,0,0,0,Jim Ninowski,NinoJi00
44,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
45,40,1964,1964-10-25,7,7,28.213,CLE,,NYG,W 42-20,,2,3,66.67,52,1,0,149.3,0,0,17.33,24.00,1,-8,-8.00,0,0,0,Jim Ninowski,NinoJi00
46,41,1964,1964-12-12,14,14,28.261,CLE,@,NYG,W 52-20,,4,6,66.67,73,1,0,147.9,1,12,12.17,15.50,,,,,0,0,Jim Ninowski,NinoJi00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
48,42,1965,1965-09-26,2,2,29.184,CLE,,STL,L 13-49,,8,17,47.06,148,0,2,38.0,2,23,8.71,3.41,,,,,0,0,Jim Ninowski,NinoJi00
49,43,1965,1965-10-03,3,3,29.191,CLE,@,PHI,W 35-17,*,9,20,45.00,103,1,0,77.7,3,28,5.15,6.15,2,34,17.00,0,0,0,Jim Ninowski,NinoJi00
50,44,1965,1965-10-24,6,6,29.212,CLE,@,NYG,W 38-14,,4,8,50.00,81,0,0,85.9,1,11,10.13,10.13,,,,,0,0,Jim Ninowski,NinoJi00
51,45,1965,1965-10-31,7,7,29.219,CLE,,MIN,L 17-27,,5,7,71.43,62,0,0,98.5,1,4,8.86,8.86,,,,,0,0,Jim Ninowski,NinoJi00
52,46,1965,1965-11-28,11,11,29.247,CLE,@,PIT,W 42-21,,3,4,75.00,72,2,0,156.2,0,0,18.00,28.00,1,14,14.00,0,0,0,Jim Ninowski,NinoJi00
53,47,1965,1965-12-12,13,13,29.261,CLE,@,RAM,L 7-42,*,11,27,40.74,83,1,1,45.8,1,4,3.07,2.15,1,-2,-2.00,0,0,0,Jim Ninowski,NinoJi00
54,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
55,48,1966,1966-09-11,1,1,30.169,CLE,@,WAS,W 38-14,,,,,,,,,0,0,,,1,-11,-11.00,0,0,0,Jim Ninowski,NinoJi00
56,49,1966,1966-10-08,5,5,30.196,CLE,,PIT,W 41-10,,4,6,66.67,67,1,0,143.7,0,0,11.17,14.50,1,-4,-4.00,0,0,0,Jim Ninowski,NinoJi00
57,50,1966,1966-10-30,7,8,30.218,CLE,@,ATL,W 49-17,,3,4,75.00,72,2,0,156.2,0,0,18.00,28.00,,,,,0,0,Jim Ninowski,NinoJi00
58,51,1966,1966-11-13,9,10,30.232,CLE,,PHI,W 27-7,,3,5,60.00,26,0,0,73.7,0,0,5.20,5.20,,,,,0,0,Jim Ninowski,NinoJi00
59,52,1966,1966-12-11,13,14,30.260,CLE,@,PHI,L 21-33,,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,,,,,0,0,Jim Ninowski,NinoJi00
60,53,1966,1966-12-17,14,15,30.266,CLE,@,STL,W 38-10,,0,2,0.00,0,0,1,0.0,1,14,0.00,-22.50,1,4,4.00,0,0,0,Jim Ninowski,NinoJi00
61,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
62,54,1967,1967-09-24,2,2,31.182,WAS,@,NOR,W 30-10,,4,6,66.67,63,0,0,101.4,0,0,10.50,10.50,,,,,0,0,Jim Ninowski,NinoJi00
63,55,1967,1967-11-12,9,9,31.231,WAS,,SFO,W 31-28,,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,,,,,0,0,Jim Ninowski,NinoJi00
64,56,1967,1967-12-17,14,14,31.266,WAS,,NOR,L 14-30,,7,11,63.64,59,0,1,39.6,0,0,5.36,1.27,,,,,0,0,Jim Ninowski,NinoJi00
65,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
66,57,1968,1968-09-22,2,2,32.180,WAS,@,NOR,L 17-37,,1,3,33.33,12,0,0,46.5,1,10,4.00,4.00,,,,,0,0,Jim Ninowski,NinoJi00
67,58,1968,1968-10-20,6,6,32.208,WAS,@,STL,L 14-41,,2,4,50.00,11,0,0,56.2,1,15,2.75,2.75,,,,,0,0,Jim Ninowski,NinoJi00
68,59,1968,1968-11-10,9,9,32.229,WAS,@,PHI,W 16-10,,8,15,53.33,104,0,1,47.6,0,0,6.93,3.93,1,8,8.00,0,0,0,Jim Ninowski,NinoJi00
69,60,1968,1968-11-28,12,12,32.247,WAS,@,DAL,L 20-29,*,18,34,52.94,280,3,3,73.2,6,60,8.24,6.03,1,5,5.00,0,0,0,Jim Ninowski,NinoJi00
70,61,1968,1968-12-08,13,13,32.257,WAS,,CLE,L 21-24,,9,16,56.25,115,1,0,99.7,2,17,7.19,8.44,,,,,0,0,Jim Ninowski,NinoJi00
71,62,1968,1968-12-15,14,14,32.264,WAS,,DET,W 14-3,*,11,23,47.83,111,0,2,25.8,2,26,4.83,0.91,,,,,0,0,Jim Ninowski,NinoJi00
72,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
73,63,1969,1969-10-05,3,3,33.193,NOR,@,RAM,L 17-36,,2,5,40.00,80,0,0,87.5,0,0,16.00,16.00,,,,,0,0,Jim Ninowski,NinoJi00
74,64,1969,1969-10-19,5,5,33.207,NOR,,BAL,L 10-30,,4,7,57.14,49,0,1,39.3,1,11,7.00,0.57,,,,,0,0,Jim Ninowski,NinoJi00
75,65,1969,1969-10-26,6,6,33.214,NOR,@,PHI,L 10-13,,11,21,52.38,98,1,1,61.2,0,0,4.67,3.48,,,,,0,0,Jim Ninowski,NinoJi00
76,66,1969,1969-11-02,7,7,33.221,NOR,@,STL,W 51-42,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,0,Jim Ninowski,NinoJi00
77,,,66 Games,,,,,,,36-29-1,,513,1048,48.95,7133,34,67,55.4,81,874,6.81,4.58,92,367,3.99,10,10,60,Jim Ninowski,NinoJi00
