,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
97,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Eddie LeBaron,LeBaEd00
98,91,1961,1961-09-17,1,1,31.253,DAL,,PIT,W 27-24,,9,13,69.23,166,2,0,151.4,,,12.77,15.85,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
99,92,1961,1961-09-24,2,2,31.260,DAL,,MIN,W 21-7,,5,8,62.50,75,0,1,53.6,,,9.38,3.75,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
100,93,1961,1961-10-01,3,3,31.267,DAL,@,CLE,L 7-25,*,1,2,50.00,1,0,0,56.2,,,0.50,0.50,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
101,94,1961,1961-10-08,4,4,31.274,DAL,@,MIN,W 28-0,*,6,11,54.55,76,1,0,106.6,1,10,6.91,8.73,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
102,95,1961,1961-10-15,5,5,31.281,DAL,,NYG,L 10-31,*,4,11,36.36,92,0,2,27.7,,,8.36,0.18,1,1,1.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
103,96,1961,1961-10-29,7,7,31.295,DAL,@,NYG,W 17-16,*,15,28,53.57,207,2,1,86.5,3,20,7.39,7.21,2,0,0.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
104,97,1961,1961-11-05,8,8,31.302,DAL,,STL,L 17-31,*,14,33,42.42,238,2,5,48.1,,,7.21,1.61,3,12,4.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
105,98,1961,1961-11-12,9,9,31.309,DAL,@,PIT,L 7-37,*,5,10,50.00,44,0,1,22.5,2,16,4.40,-0.10,2,1,0.50,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
106,99,1961,1961-11-19,10,10,31.316,DAL,,WAS,T 28-28,,7,7,100.00,80,1,0,153.9,,,11.43,14.29,1,12,12.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
