,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Unnamed: 29_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2020,2020-09-13,1,1,,LAC,@,CIN,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Justin Herbert,HerbJu00
14,15,2020,2020-12-27,15,16,22.292,LAC,,DEN,W 19-16,*,21,33,63.64,253,1,0,97.2,2,26,7.67,8.27,4,26,6.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
15,16,2020,2021-01-03,16,17,22.299,LAC,@,KAN,W 38-21,*,22,31,70.97,302,3,0,134.1,3,21,9.74,11.68,6,9,1.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Justin Herbert,HerbJu00
17,17,2021,2021-09-12,1,1,23.186,LAC,@,WAS,W 20-16,*,31,47,65.96,337,1,1,85.2,2,3,7.17,6.64,4,-1,-0.25,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,81,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
18,18,2021,2021-09-19,2,2,23.193,LAC,,DAL,L 17-20,*,31,41,75.61,338,1,2,87.2,2,25,8.24,6.54,4,12,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
19,19,2021,2021-09-26,3,3,23.200,LAC,@,KAN,W 30-24,*,26,38,68.42,281,4,0,125.0,1,6,7.39,9.50,4,16,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
20,20,2021,2021-10-04,4,4,23.208,LAC,,LVR,W 28-14,*,25,38,65.79,222,3,0,107.6,2,10,5.84,7.42,3,4,1.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
21,21,2021,2021-10-10,5,5,23.214,LAC,,CLE,W 47-42,*,26,43,60.47,398,4,0,122.0,2,17,9.26,11.12,4,29,7.25,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
22,22,2021,2021-10-17,6,6,23.221,LAC,@,BAL,L 6-34,*,22,39,56.41,195,1,1,67.8,2,13,5.00,4.36,2,12,6.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
23,23,2021,2021-10-31,7,8,23.235,LAC,,NWE,L 24-27,*,18,35,51.43,223,2,2,66.7,3,17,6.37,4.94,2,9,4.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
