,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
41,40,2013,2013-11-03,8,9,24.176,CAR,,ATL,W 34-10,*,23,37,62.16,249,1,2,68.4,1,7,6.73,4.84,5,22,4.40,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Cam Newton,NewtCa00
42,41,2013,2013-11-10,9,10,24.183,CAR,@,SFO,W 10-9,*,16,32,50.00,169,0,1,52.7,3,28,5.28,3.88,8,15,1.88,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-5,0,66,100%,0,0%,0,0%,,Cam Newton,NewtCa00
43,42,2013,2013-11-18,10,11,24.191,CAR,,NWE,W 24-20,*,19,28,67.86,209,3,0,125.4,3,12,7.46,9.61,7,62,8.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Cam Newton,NewtCa00
44,43,2013,2013-11-24,11,12,24.197,CAR,@,MIA,W 20-16,*,19,38,50.00,174,1,1,60.6,3,15,4.58,3.92,7,51,7.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Cam Newton,NewtCa00
45,44,2013,2013-12-01,12,13,24.204,CAR,,TAM,W 27-6,*,18,29,62.07,263,2,2,85.8,0,0,9.07,7.34,5,68,13.60,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,60,94%,0,0%,0,0%,,Cam Newton,NewtCa00
46,45,2013,2013-12-08,13,14,24.211,CAR,@,NOR,L 13-31,*,22,34,64.71,160,1,0,85.4,5,49,4.71,5.29,6,48,8.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Cam Newton,NewtCa00
47,46,2013,2013-12-15,14,15,24.218,CAR,,NYJ,W 30-20,*,16,24,66.67,273,1,0,118.9,2,12,11.38,12.21,7,12,1.71,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Cam Newton,NewtCa00
48,47,2013,2013-12-22,15,16,24.225,CAR,,NOR,W 17-13,*,13,22,59.09,181,1,1,81.8,4,40,8.23,7.09,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,44,100%,0,0%,0,0%,,Cam Newton,NewtCa00
49,48,2013,2013-12-29,16,17,24.232,CAR,@,ATL,W 21-20,*,15,27,55.56,149,2,1,80.6,1,0,5.52,5.33,12,72,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Cam Newton,NewtCa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
