,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 39_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,,
19,19,2003,2003-09-21,3,3,24.335,DET,,MIN,L 13-23,*,24,42,57.14,235,0,3,43.3,1,1,5.60,2.38,3,19,6.33,0,0,0,0,,0,0.0%,,1,0,0,1,0,0,,Joey Harrington,HarrJo00
20,20,2003,2003-09-28,4,4,24.342,DET,@,DEN,L 16-20,*,15,33,45.45,149,2,0,79.0,1,8,4.52,5.73,3,10,3.33,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
21,21,2003,2003-10-05,5,5,24.349,DET,@,SFO,L 17-24,*,19,35,54.29,200,1,2,56.8,,,5.71,3.71,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
22,22,2003,2003-10-19,6,7,24.363,DET,,DAL,L 7-38,*,5,13,38.46,30,0,2,7.1,1,7,2.31,-4.62,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
23,23,2003,2003-10-26,7,8,25.005,DET,@,CHI,L 16-24,*,23,40,57.50,180,1,2,56.2,,,4.50,2.75,1,-6,-6.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
24,24,2003,2003-11-02,8,9,25.012,DET,,OAK,W 23-13,*,13,21,61.90,117,1,1,72.9,,,5.57,4.38,4,7,1.75,0,0,0,0,,0,0.0%,,1,0,0,0,-5,0,,Joey Harrington,HarrJo00
25,25,2003,2003-11-09,9,10,25.019,DET,,CHI,W 12-10,*,24,38,63.16,238,0,0,80.8,1,7,6.26,6.26,2,-2,-1.00,0,0,0,0,,0,0.0%,,1,0,0,0,0,0,,Joey Harrington,HarrJo00
26,26,2003,2003-11-16,10,11,25.026,DET,@,SEA,L 14-35,*,26,48,54.17,285,2,2,68.5,1,9,5.94,4.90,3,3,1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
27,27,2003,2003-11-23,11,12,25.033,DET,@,MIN,L 14-24,*,21,41,51.22,167,1,4,30.3,,,4.07,0.17,2,34,17.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
28,28,2003,2003-11-27,12,13,25.037,DET,,GNB,W 22-14,*,21,32,65.63,183,0,1,67.6,2,11,5.72,4.31,6,2,0.33,0,0,0,0,,0,0.0%,,2,0,0,1,-2,0,,Joey Harrington,HarrJo00
29,29,2003,2003-12-07,13,14,25.047,DET,,SDG,L 7-14,*,26,46,56.52,208,1,0,75.3,,,4.52,4.96,3,20,6.67,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
30,30,2003,2003-12-14,14,15,25.054,DET,@,KAN,L 17-45,*,20,36,55.56,197,1,1,68.9,,,5.47,4.78,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
31,31,2003,2003-12-21,15,16,25.061,DET,@,CAR,L 14-20,*,3,8,37.50,17,0,0,45.8,,,2.13,2.13,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
32,32,2003,2003-12-28,16,17,25.068,DET,,STL,W 30-20,*,26,36,72.22,238,3,1,106.0,1,8,6.61,7.03,2,0,0.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
34,33,2004,2004-09-12,1,1,25.327,DET,@,CHI,W 20-16,*,14,26,53.85,187,1,1,73.7,2,2,7.19,6.23,3,6,2.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
35,34,2004,2004-09-19,2,2,25.334,DET,,HOU,W 28-16,*,18,25,72.00,176,3,1,114.3,2,4,7.04,7.64,4,17,4.25,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
36,35,2004,2004-09-26,3,3,25.341,DET,,PHI,L 13-30,*,21,38,55.26,199,2,0,87.5,5,20,5.24,6.29,3,10,3.33,0,0,0,0,,0,0.0%,,2,1,0,0,0,0,,Joey Harrington,HarrJo00
37,36,2004,2004-10-10,4,5,25.355,DET,@,ATL,W 17-10,*,16,24,66.67,146,1,0,96.9,3,20,6.08,6.92,5,2,0.40,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
38,37,2004,2004-10-17,5,6,25.362,DET,,GNB,L 10-38,*,12,23,52.17,101,1,1,60.2,1,9,4.39,3.30,4,12,3.00,0,0,0,0,,0,0.0%,,1,0,0,0,-6,0,,Joey Harrington,HarrJo00
39,38,2004,2004-10-24,6,7,26.003,DET,@,NYG,W 28-13,*,18,22,81.82,230,2,0,140.5,3,20,10.45,12.27,2,-2,-1.00,0,0,0,0,,0,0.0%,,1,0,0,0,0,0,,Joey Harrington,HarrJo00
40,39,2004,2004-10-31,7,8,26.010,DET,@,DAL,L 21-31,*,19,32,59.38,255,2,1,92.6,1,10,7.97,7.81,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
41,40,2004,2004-11-07,8,9,26.017,DET,,WAS,L 10-17,*,26,52,50.00,269,1,1,63.7,2,11,5.17,4.69,2,14,7.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
42,41,2004,2004-11-14,9,10,26.024,DET,@,JAX,L 17-23,*,11,33,33.33,121,0,1,32.5,2,12,3.67,2.30,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
43,42,2004,2004-11-21,10,11,26.031,DET,@,MIN,L 19-22,*,12,19,63.16,91,1,1,70.3,3,24,4.79,3.47,4,17,4.25,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
44,43,2004,2004-11-25,11,12,26.035,DET,,IND,L 9-41,*,14,23,60.87,156,0,0,81.1,2,3,6.78,6.78,0,0,,0,0,0,0,,0,0.0%,,1,1,0,0,0,0,,Joey Harrington,HarrJo00
45,44,2004,2004-12-05,12,13,26.045,DET,,ARI,W 26-12,*,15,27,55.56,196,1,1,75.5,2,13,7.26,6.33,6,19,3.17,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
