,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 39_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,,
74,71,2006,2006-10-22,7,7,28.001,MIA,,GNB,L 24-34,*,33,62,53.23,414,2,3,64.9,4,33,6.68,5.15,1,3,3.00,0,0,0,0,,0,0.0%,,1,0,0,0,0,0,,Joey Harrington,HarrJo00
75,72,2006,2006-11-05,8,9,28.015,MIA,@,CHI,W 31-13,*,16,32,50.00,137,3,2,66.8,0,0,4.28,3.34,4,2,0.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
76,73,2006,2006-11-12,9,10,28.022,MIA,,KAN,W 13-10,*,19,35,54.29,201,0,0,71.2,1,12,5.74,5.74,4,6,1.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
77,74,2006,2006-11-19,10,11,28.029,MIA,,MIN,W 24-20,*,26,42,61.90,254,1,1,76.9,1,7,6.05,5.45,2,2,1.00,0,0,0,0,,0,0.0%,,2,1,0,1,-3,0,,Joey Harrington,HarrJo00
78,75,2006,2006-11-23,11,12,28.033,MIA,@,DET,W 27-10,*,19,29,65.52,213,3,1,107.4,1,4,7.34,7.86,1,2,2.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
79,76,2006,2006-12-03,12,13,28.043,MIA,,JAX,L 10-24,*,27,42,64.29,267,1,2,70.2,4,26,6.36,4.69,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
80,77,2006,2006-12-10,13,14,28.050,MIA,,NWE,W 21-0,*,18,30,60.00,190,1,0,89.6,1,6,6.33,7.00,4,4,1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
81,78,2006,2006-12-17,14,15,28.057,MIA,@,BUF,L 0-21,*,5,17,29.41,20,0,2,0.0,1,9,1.18,-4.12,1,7,7.00,0,0,0,0,,0,0.0%,,1,0,0,1,0,0,,Joey Harrington,HarrJo00
82,79,2006,2006-12-25,15,16,28.065,MIA,,NYJ,L 10-13,*,7,15,46.67,42,0,0,53.5,1,8,2.80,2.80,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
83,80,2006,2006-12-31,16,17,,MIA,@,IND,L 22-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
85,81,2007,2007-09-09,1,1,28.323,ATL,@,MIN,L 3-24,*,23,32,71.88,199,0,2,61.8,6,30,6.22,3.41,1,8,8.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
86,82,2007,2007-09-16,2,2,28.330,ATL,@,JAX,L 7-13,*,12,20,60.00,200,0,0,93.7,7,34,10.00,10.00,2,2,1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
87,83,2007,2007-09-23,3,3,28.337,ATL,,CAR,L 20-27,*,31,44,70.45,361,2,0,110.1,1,10,8.20,9.11,1,4,4.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
88,84,2007,2007-09-30,4,4,28.344,ATL,,HOU,W 26-16,*,23,29,79.31,223,2,0,121.7,2,9,7.69,9.07,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
89,85,2007,2007-10-07,5,5,28.351,ATL,@,TEN,L 13-20,*,16,31,51.61,87,0,1,44.2,1,8,2.81,1.35,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
90,86,2007,2007-10-15,6,6,28.359,ATL,,NYG,L 10-31,*,18,39,46.15,209,0,1,52.2,4,28,5.36,4.21,1,1,1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
91,87,2007,2007-10-21,7,7,29.000,ATL,@,NOR,L 16-22,,12,18,66.67,128,0,0,87.3,2,7,7.11,7.11,1,0,0.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
92,88,2007,2007-11-04,8,9,29.014,ATL,,SFO,W 20-16,*,14,25,56.00,138,0,1,55.1,1,7,5.52,3.72,4,14,3.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
93,89,2007,2007-11-11,9,10,29.021,ATL,@,CAR,W 20-13,*,19,26,73.08,192,1,0,106.6,2,12,7.38,8.15,1,2,2.00,0,1,1,4,4.00,0,100.0%,4.00,0,,0,0,0,0,,Joey Harrington,HarrJo00
94,90,2007,2007-11-18,10,11,29.028,ATL,,TAM,L 7-31,,16,20,80.00,139,1,0,112.3,1,7,6.95,7.95,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
95,91,2007,2007-11-22,11,12,29.032,ATL,,IND,L 13-31,*,14,30,46.67,155,1,2,45.8,2,17,5.17,2.83,2,3,1.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
96,92,2007,2007-12-02,12,13,29.042,ATL,@,STL,L 16-28,*,17,34,50.00,184,0,1,54.0,3,23,5.41,4.09,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
97,93,2007,2007-12-10,13,14,,ATL,,NOR,L 14-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
98,94,2007,2007-12-16,14,15,,ATL,@,TAM,L 3-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
99,95,2007,2007-12-23,15,16,,ATL,@,ARI,L 27-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
100,96,2007,2007-12-30,16,17,,ATL,,SEA,W 44-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
102,97,2008,2008-09-21,3,3,,NOR,@,DEN,L 32-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
103,98,2008,2008-10-12,6,6,,NOR,,OAK,W 34-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
104,99,2008,2008-10-19,7,7,,NOR,@,CAR,L 7-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
105,100,2008,2008-10-26,8,8,,NOR,,SDG,W 37-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
106,101,2008,2008-11-09,9,10,,NOR,@,ATL,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
107,102,2008,2008-11-16,10,11,,NOR,@,KAN,W 30-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
108,103,2008,2008-11-24,11,12,,NOR,,GNB,W 51-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
109,104,2008,2008-11-30,12,13,,NOR,@,TAM,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
110,105,2008,2008-12-07,13,14,,NOR,,ATL,W 29-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
111,106,2008,2008-12-11,14,15,,NOR,@,CHI,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
112,107,2008,2008-12-21,15,16,,NOR,@,DET,W 42-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
113,108,2008,2008-12-28,16,17,,NOR,,CAR,L 31-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joey Harrington,HarrJo00
114,,,81 Games,,,,,,,26-55-0,,1424,2538,56.11,14693,79,85,69.4,124,770,5.79,4.90,142,402,2.83,0,3,3,8,2.67,0,100.0%,2.67,25,9,0,6,-19,0,,Joey Harrington,HarrJo00
