,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,,
140,131,1967,1967-10-15,5,5,32.268,DET,@,CHI,L 3-14,*,11,26,42.31,123,0,1,41.0,0,0,4.73,3.00,2,-4,-2.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
141,132,1967,1967-11-19,10,10,32.303,DET,@,BAL,L 7-41,,3,5,60.00,28,0,0,75.4,0,0,5.60,5.60,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
142,133,1967,1967-11-23,11,11,32.307,DET,,RAM,L 7-31,,7,18,38.89,38,0,2,7.4,1,16,2.11,-2.89,1,-8,-8.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
143,134,1967,1967-12-03,12,12,32.317,DET,,PIT,L 14-24,*,16,34,47.06,199,1,2,51.0,3,32,5.85,3.79,2,16,8.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
144,135,1967,1967-12-17,14,14,32.331,DET,,MIN,W 14-3,,3,6,50.00,44,0,1,34.7,0,0,7.33,-0.17,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
145,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
146,136,1968,1968-09-22,2,2,33.246,RAM,,PIT,W 45-10,,4,9,44.44,44,1,0,96.5,1,15,4.89,7.11,1,1,1.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
147,137,1968,1968-12-08,13,13,33.323,RAM,,CHI,L 16-17,,1,3,33.33,5,0,1,2.8,0,0,1.67,-13.33,1,2,2.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
148,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
149,138,1969,1969-09-28,2,2,34.251,NYG,@,DET,L 0-24,,3,9,33.33,37,0,0,47.0,1,12,4.11,4.11,1,-1,-1.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
150,,,138 Games,,,,,,,72-58-8,,1306,2419,53.99,17536,122,127,72.2,116,1729,7.25,5.90,217,531,2.45,13,1,20,20.00,0,14,14,100.0,6,16,37.5,13,110,Milt Plum,PlumMi00
