,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
9,10,2007,2007-11-18,10,11,,CAR,@,GNB,L 17-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matt Moore,MoorMa01
10,11,2007,2007-11-25,11,12,23.108,CAR,,NOR,L 6-31,,8,14,57.14,66,0,1,39.6,0,0,4.71,1.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
11,12,2007,2007-12-02,12,13,,CAR,,SFO,W 31-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Moore,MoorMa01
12,13,2007,2007-12-09,13,14,23.122,CAR,@,JAX,L 6-37,,3,10,30.00,21,0,0,39.6,0,0,2.10,2.10,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
13,14,2007,2007-12-16,14,15,23.129,CAR,,SEA,W 13-10,*,19,27,70.37,208,0,0,92.8,0,0,7.70,7.70,2,5,2.50,0,0,0,2,0,0,2,-4,0,,,,,,,,Matt Moore,MoorMa01
14,15,2007,2007-12-22,15,16,23.135,CAR,,DAL,L 13-20,*,15,28,53.57,182,1,1,70.8,5,35,6.50,5.61,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
15,16,2007,2007-12-30,16,17,23.143,CAR,@,TAM,W 31-23,*,15,24,62.50,174,2,1,94.8,1,5,7.25,7.04,1,0,0.00,0,0,0,0,0,0,1,0,0,,,,,,,,Matt Moore,MoorMa01
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matt Moore,MoorMa01
17,17,2008,2008-09-07,1,1,,CAR,@,SDG,W 26-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matt Moore,MoorMa01
18,18,2008,2008-09-14,2,2,,CAR,,CHI,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matt Moore,MoorMa01
