,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
18,18,2013,2013-09-15,2,2,24.003,IND,,MIA,L 20-24,*,25,43,58.14,321,1,1,79.7,3,6,7.47,6.88,4,38,9.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
19,19,2013,2013-09-22,3,3,24.010,IND,@,SFO,W 27-7,*,17,26,65.38,159,0,0,82.1,1,7,6.12,6.12,4,24,6.00,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
20,20,2013,2013-09-29,4,4,24.017,IND,@,JAX,W 37-3,*,21,35,60.00,257,2,1,89.8,2,14,7.34,7.20,2,26,13.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,92%,0,0%,0,0%,,Andrew Luck,LuckAn00
21,21,2013,2013-10-06,5,5,24.024,IND,,SEA,W 34-28,*,16,29,55.17,229,2,0,104.0,2,21,7.90,9.28,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,65,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
22,22,2013,2013-10-14,6,6,24.032,IND,@,SDG,L 9-19,*,18,30,60.00,202,0,1,66.3,1,9,6.73,5.23,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,48,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
23,23,2013,2013-10-20,7,7,24.038,IND,,DEN,W 39-33,*,21,38,55.26,228,3,0,99.5,2,15,6.00,7.58,4,29,7.25,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
24,24,2013,2013-11-03,8,9,24.052,IND,@,HOU,W 27-24,*,18,40,45.00,271,3,0,92.8,4,26,6.78,8.28,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
25,25,2013,2013-11-10,9,10,24.059,IND,,STL,L 8-38,*,29,47,61.70,353,1,3,65.3,3,33,7.51,5.06,4,17,4.25,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,67,91%,0,0%,0,0%,,Andrew Luck,LuckAn00
26,26,2013,2013-11-14,10,11,24.063,IND,@,TEN,W 30-27,*,23,36,63.89,232,0,0,82.2,1,3,6.44,6.44,9,31,3.44,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
27,27,2013,2013-11-24,11,12,24.073,IND,@,ARI,L 11-40,*,20,39,51.28,163,1,1,60.1,1,4,4.18,3.54,2,31,15.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
28,28,2013,2013-12-01,12,13,24.080,IND,,TEN,W 22-14,*,17,32,53.13,200,0,1,59.4,5,40,6.25,4.84,5,42,8.40,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,0,0,65,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
29,29,2013,2013-12-08,13,14,24.087,IND,@,CIN,L 28-42,*,29,46,63.04,326,4,0,113.1,0,0,7.09,8.83,2,32,16.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
30,30,2013,2013-12-15,14,15,24.094,IND,,HOU,W 25-3,*,19,32,59.38,180,2,1,82.8,1,1,5.63,5.47,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
