,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Unnamed: 35_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 53_level_0,qb,qb_tag
9,10,2010,2010-11-21,10,11,24.077,CLE,@,JAX,L 20-24,*,17,28,60.71,241,1,1,85.6,6,46,8.61,7.71,4,39,9.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
10,11,2010,2010-11-28,11,12,,CLE,,CAR,W 24-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Colt McCoy,McCoCo00
11,12,2010,2010-12-05,12,13,,CLE,@,MIA,W 13-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Colt McCoy,McCoCo00
12,13,2010,2010-12-12,13,14,,CLE,@,BUF,L 6-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Colt McCoy,McCoCo00
13,14,2010,2010-12-19,14,15,24.105,CLE,@,CIN,L 17-19,*,19,25,76.00,243,2,0,132.6,4,24,9.72,11.32,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
14,15,2010,2010-12-26,15,16,24.112,CLE,,BAL,L 10-20,*,15,29,51.72,149,0,3,27.0,0,0,5.14,0.48,4,30,7.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
15,16,2010,2011-01-02,16,17,24.119,CLE,,PIT,L 9-41,*,20,41,48.78,209,1,3,41.6,4,28,5.10,2.29,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Colt McCoy,McCoCo00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Colt McCoy,McCoCo00
17,17,2011,2011-09-11,1,1,25.006,CLE,,CIN,L 17-27,*,19,40,47.50,213,2,1,70.1,2,11,5.33,5.20,3,11,3.67,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Colt McCoy,McCoCo00
18,18,2011,2011-09-18,2,2,25.013,CLE,@,IND,W 27-19,*,22,32,68.75,211,1,0,97.3,1,14,6.59,7.22,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
19,19,2011,2011-09-25,3,3,25.020,CLE,,MIA,W 17-16,*,19,39,48.72,210,2,1,71.5,0,0,5.38,5.26,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
20,20,2011,2011-10-02,4,4,25.027,CLE,,TEN,L 13-31,*,40,61,65.57,350,1,1,79.3,3,11,5.74,5.33,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,-8,0,,,,,,,,Colt McCoy,McCoCo00
21,21,2011,2011-10-16,5,6,25.041,CLE,@,OAK,L 17-24,*,21,45,46.67,215,2,0,75.7,2,12,4.78,5.67,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
22,22,2011,2011-10-23,6,7,25.048,CLE,,SEA,W 6-3,*,20,35,57.14,178,0,1,59.0,4,19,5.09,3.80,9,29,3.22,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
23,23,2011,2011-10-30,7,8,25.055,CLE,@,SFO,L 10-20,*,22,34,64.71,241,1,1,83.1,4,17,7.09,6.35,8,30,3.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,4,1,0,3,-1,0,,,,,,,,Colt McCoy,McCoCo00
24,24,2011,2011-11-06,8,9,25.062,CLE,@,HOU,L 12-30,*,14,22,63.64,146,1,1,79.0,4,18,6.64,5.50,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
25,25,2011,2011-11-13,9,10,25.069,CLE,,STL,L 12-13,*,20,27,74.07,218,0,0,97.5,2,9,8.07,8.07,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
26,26,2011,2011-11-20,10,11,25.076,CLE,,JAX,W 14-10,*,17,24,70.83,199,1,1,92.2,2,13,8.29,7.25,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
27,27,2011,2011-11-27,11,12,25.083,CLE,@,CIN,L 20-23,*,16,34,47.06,151,2,1,67.2,2,11,4.44,4.29,6,38,6.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
28,28,2011,2011-12-04,12,13,25.090,CLE,,BAL,L 10-24,*,17,35,48.57,192,1,1,63.0,3,22,5.49,4.77,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
29,29,2011,2011-12-08,13,14,25.094,CLE,@,PIT,L 3-14,*,18,35,51.43,209,0,2,46.0,3,16,5.97,3.40,6,15,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Colt McCoy,McCoCo00
