,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,11,5,0,.688,358,286,72,4.5,0.5,5.0,3.6,1.4
2,Miami Dolphins+,11,5,0,.688,372,254,118,7.4,0.2,7.6,4.2,3.3
3,New York Jets,8,8,0,.500,359,364,-5,-0.3,1.4,1.1,4.4,-3.3
4,Buffalo Bills,5,11,0,.313,302,354,-52,-3.3,0.0,-3.3,-0.1,-3.2
5,Baltimore Colts,5,11,0,.313,239,421,-182,-11.4,2.6,-8.8,-2.8,-6.0
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,14,2,0,.875,356,195,161,10.1,-1.9,8.2,2.6,5.6
8,Houston Oilers+,10,6,0,.625,283,298,-15,-0.9,0.5,-0.4,-0.6,0.2
9,Cleveland Browns,8,8,0,.500,334,356,-22,-1.4,-0.6,-2.0,2.5,-4.5
10,Cincinnati Bengals,4,12,0,.250,252,284,-32,-2.0,0.7,-1.3,-2.7,1.3
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,10,6,0,.625,282,198,84,5.3,-0.2,5.0,-1.9,6.9
13,Oakland Raiders,9,7,0,.563,311,283,28,1.8,0.9,2.6,1.6,1.1
14,Seattle Seahawks,9,7,0,.563,345,358,-13,-0.8,0.5,-0.4,3.4,-3.7
15,San Diego Chargers,9,7,0,.563,355,309,46,2.9,0.7,3.6,4.6,-0.9
16,Kansas City Chiefs,4,12,0,.250,243,327,-84,-5.3,0.9,-4.4,-3.0,-1.4
