,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,9,7,0,.563,409,317,92,5.8,-1.4,4.3,3.8,0.5
2,Indianapolis Colts,8,8,0,.500,298,301,-3,-0.2,-0.3,-0.5,-2.7,2.2
3,Miami Dolphins,8,8,0,.500,331,379,-48,-3.0,-1.8,-4.8,-0.6,-4.2
4,New England Patriots,5,11,0,.313,297,391,-94,-5.9,-1.2,-7.0,-3.0,-4.0
5,New York Jets,4,12,0,.250,253,411,-158,-9.9,-0.2,-10.1,-4.9,-5.2
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cleveland Browns*,9,6,1,.594,334,254,80,5.0,-0.6,4.4,-0.2,4.6
8,Houston Oilers+,9,7,0,.563,365,412,-47,-2.9,0.4,-2.5,2.8,-5.3
9,Pittsburgh Steelers+,9,7,0,.563,265,326,-61,-3.8,0.1,-3.7,-4.3,0.6
10,Cincinnati Bengals,8,8,0,.500,404,285,119,7.4,-0.5,6.9,4.6,2.4
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,11,5,0,.688,362,226,136,8.5,0.8,9.3,3.7,5.7
13,Kansas City Chiefs,8,7,1,.531,318,286,32,2.0,0.0,2.0,-0.1,2.1
14,Los Angeles Raiders,8,8,0,.500,315,297,18,1.1,0.7,1.8,0.0,1.9
15,Seattle Seahawks,7,9,0,.438,241,327,-86,-5.4,2.6,-2.8,-3.6,0.8
16,San Diego Chargers,6,10,0,.375,266,290,-24,-1.5,0.8,-0.7,-2.9,2.1
