,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,14,2,0,.875,513,298,215,13.4,-2.9,10.6,9.1,1.5
2,New England Patriots,9,7,0,.563,362,352,10,0.6,-0.8,-0.1,1.0,-1.1
3,New York Jets,7,9,0,.438,332,364,-32,-2.0,-2.5,-4.5,-1.8,-2.7
4,Indianapolis Colts,4,12,0,.250,239,414,-175,-10.9,-0.2,-11.1,-7.4,-3.7
5,Buffalo Bills,2,14,0,.125,250,454,-204,-12.8,0.7,-12.0,-5.3,-6.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,9,7,0,.563,387,310,77,4.8,-1.6,3.3,2.4,0.9
8,Cincinnati Bengals,8,8,0,.500,339,339,0,0.0,-1.2,-1.2,-0.1,-1.0
9,Cleveland Browns,5,11,0,.313,250,297,-47,-2.9,-0.8,-3.8,-6.1,2.3
10,Houston Oilers,3,13,0,.188,240,437,-197,-12.3,0.3,-12.0,-5.9,-6.0
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,13,3,0,.813,353,241,112,7.0,0.7,7.7,1.0,6.7
13,Seattle Seahawks+,12,4,0,.750,418,282,136,8.5,0.5,9.0,5.4,3.5
14,Los Angeles Raiders+,11,5,0,.688,368,278,90,5.6,1.2,6.9,2.1,4.8
15,Kansas City Chiefs,8,8,0,.500,314,324,-10,-0.6,1.5,0.8,-0.8,1.6
16,San Diego Chargers,7,9,0,.438,394,413,-19,-1.2,2.0,0.8,4.8,-4.0
