,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,7,2,0,.778,198,131,67,7.4,0.8,8.2,2.6,5.6
2,New York Jets+,6,3,0,.667,245,166,79,8.8,1.7,10.5,8.8,1.7
3,New England Patriots+,5,4,0,.556,143,157,-14,-1.6,-0.8,-2.4,-3.7,1.3
4,Buffalo Bills,4,5,0,.444,150,154,-4,-0.4,1.9,1.5,-1.9,3.4
5,Baltimore Colts,0,8,1,.056,113,236,-123,-13.7,4.8,-8.8,-6.1,-2.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cincinnati Bengals*,7,2,0,.778,232,177,55,6.1,-2.5,3.6,3.5,0.2
8,Pittsburgh Steelers+,6,3,0,.667,204,146,58,6.4,-1.3,5.2,3.4,1.8
9,Cleveland Browns+,4,5,0,.444,140,182,-42,-4.7,1.2,-3.5,-5.0,1.5
10,Houston Oilers,1,8,0,.111,136,245,-109,-12.1,1.1,-11.0,-3.9,-7.1
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Los Angeles Raiders*,8,1,0,.889,260,200,60,6.7,-1.5,5.2,6.1,-0.9
13,San Diego Chargers+,6,3,0,.667,288,221,67,7.4,-2.1,5.3,10.6,-5.3
14,Seattle Seahawks,4,5,0,.444,127,147,-20,-2.2,-3.2,-5.4,-7.5,2.0
15,Kansas City Chiefs,3,6,0,.333,176,184,-8,-0.9,0.7,-0.2,-1.9,1.6
16,Denver Broncos,2,7,0,.222,148,226,-78,-8.7,-1.1,-9.7,-6.0,-3.8
