,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,12,4,.750,428,320,108,6.8,0.3,7.0,6.1,0.9
2,New York Jets+,11,5,.688,393,264,129,8.1,0.9,9.0,3.8,5.2
3,New England Patriots+,11,5,.688,362,290,72,4.5,1.3,5.8,2.0,3.8
4,Indianapolis Colts,5,11,.313,320,386,-66,-4.1,1.5,-2.7,-0.3,-2.4
5,Buffalo Bills,2,14,.125,200,381,-181,-11.3,1.5,-9.8,-9.5,-0.2
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cleveland Browns*,8,8,.500,287,294,-7,-0.4,-0.8,-1.3,-4.7,3.4
8,Cincinnati Bengals,7,9,.438,441,437,4,0.3,-0.9,-0.7,6.2,-6.9
9,Pittsburgh Steelers,7,9,.438,379,355,24,1.5,-2.0,-0.5,0.6,-1.1
10,Houston Oilers,5,11,.313,284,412,-128,-8.0,-0.9,-8.9,-4.9,-4.0
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Los Angeles Raiders*,12,4,.750,354,308,46,2.9,1.5,4.3,0.7,3.7
13,Denver Broncos,11,5,.688,380,329,51,3.2,0.4,3.6,1.8,1.9
14,Seattle Seahawks,8,8,.500,349,303,46,2.9,1.5,4.3,0.3,4.1
15,San Diego Chargers,8,8,.500,467,435,32,2.0,-0.9,1.1,8.3,-7.2
16,Kansas City Chiefs,6,10,.375,317,360,-43,-2.7,1.1,-1.6,-2.0,0.4
