,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,10,6,.625,350,335,15,0.9,-1.8,-0.9,-0.5,-0.4
2,Indianapolis Colts+,9,7,.563,331,316,15,0.9,-2.3,-1.3,-1.8,0.4
3,Miami Dolphins+,9,7,.563,398,332,66,4.1,-1.4,2.7,3.1,-0.4
4,New England Patriots,6,10,.375,294,377,-83,-5.2,-0.2,-5.4,-2.8,-2.6
5,New York Jets,3,13,.188,233,384,-151,-9.4,-1.7,-11.2,-7.9,-3.3
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,11,5,.688,407,327,80,5.0,-0.4,4.6,3.4,1.2
8,Houston Oilers,7,9,.438,348,324,24,1.5,-0.7,0.8,-0.1,0.9
9,Cincinnati Bengals,7,9,.438,349,374,-25,-1.6,-0.2,-1.7,0.1,-1.9
10,Cleveland Browns,5,11,.313,289,356,-67,-4.2,0.4,-3.8,-3.2,-0.6
11,Jacksonville Jaguars,4,12,.250,275,404,-129,-8.1,0.0,-8.1,-4.4,-3.7
12,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
13,Kansas City Chiefs*,13,3,.813,358,241,117,7.3,0.3,7.6,0.8,6.9
14,San Diego Chargers+,9,7,.563,321,323,-2,-0.1,1.6,1.5,-0.6,2.1
15,Seattle Seahawks,8,8,.500,363,366,-3,-0.2,-0.4,-0.6,1.6,-2.2
16,Denver Broncos,8,8,.500,388,345,43,2.7,0.4,3.1,3.3,-0.2
17,Oakland Raiders,8,8,.500,348,332,16,1.0,1.1,2.1,1.1,1.0
