,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Baltimore Colts*,10,4,.714,395,269,126,9.0,-0.4,8.6,6.3,2.2
2,Miami Dolphins,10,4,.714,357,222,135,9.6,-0.3,9.3,3.3,6.0
3,Buffalo Bills,8,6,.571,420,355,65,4.6,2.4,7.1,10.4,-3.4
4,New York Jets,3,11,.214,258,433,-175,-12.5,4.2,-8.3,-1.2,-7.1
5,New England Patriots,3,11,.214,258,358,-100,-7.1,2.9,-4.3,-2.3,-2.0
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,12,2,.857,373,162,211,15.1,-0.9,14.2,5.4,8.8
8,Cincinnati Bengals+,11,3,.786,340,246,94,6.7,0.2,6.9,4.0,2.9
9,Houston Oilers,10,4,.714,293,226,67,4.8,1.6,6.4,1.2,5.2
10,Cleveland Browns,3,11,.214,218,372,-154,-11.0,4.2,-6.8,-2.6,-4.2
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,11,3,.786,375,255,120,8.6,-1.8,6.8,5.5,1.3
13,Denver Broncos,6,8,.429,254,307,-53,-3.8,0.3,-3.4,-2.7,-0.7
14,Kansas City Chiefs,5,9,.357,282,341,-59,-4.2,0.0,-4.2,-0.6,-3.7
15,San Diego Chargers,2,12,.143,189,345,-156,-11.1,1.7,-9.4,-6.0,-3.4
