,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,12,2,0,.857,343,150,193,13.8,-0.5,13.3,5.0,8.3
2,Buffalo Bills,9,5,0,.643,259,230,29,2.1,-1.7,0.4,-1.8,2.1
3,New England Patriots,5,9,0,.357,258,300,-42,-3.0,-3.0,-6.0,-2.6,-3.4
4,New York Jets,4,10,0,.286,240,306,-66,-4.7,1.3,-3.4,-1.8,-1.6
5,Baltimore Colts,4,10,0,.286,226,341,-115,-8.2,-0.2,-8.4,-2.4,-5.9
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cincinnati Bengals*,10,4,0,.714,286,231,55,3.9,-0.9,3.0,0.1,2.9
8,Pittsburgh Steelers+,10,4,0,.714,347,210,137,9.8,-1.6,8.2,4.5,3.8
9,Cleveland Browns,7,5,2,.571,234,255,-21,-1.5,0.3,-1.2,-2.6,1.4
10,Houston Oilers,1,13,0,.071,199,447,-248,-17.7,1.0,-16.8,-4.4,-12.4
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,9,4,1,.679,292,175,117,8.4,-1.7,6.7,0.0,6.7
13,Kansas City Chiefs,7,5,2,.571,231,192,39,2.8,-1.8,1.0,-4.2,5.1
14,Denver Broncos,7,5,2,.571,354,296,58,4.1,-1.2,2.9,5.4,-2.5
15,San Diego Chargers,2,11,1,.179,188,386,-198,-14.1,2.1,-12.0,-3.6,-8.4
