,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,13,3,.813,458,318,140,8.8,-5.2,3.6,7.6,-4.1
2,New York Jets+,8,8,.500,314,293,21,1.3,-3.8,-2.4,-1.2,-1.2
3,Miami Dolphins,8,8,.500,343,349,-6,-0.4,-3.7,-4.1,0.7,-4.8
4,New England Patriots,6,10,.375,211,305,-94,-5.9,-2.8,-8.7,-7.9,-0.8
5,Indianapolis Colts,1,15,.063,143,381,-238,-14.9,-2.4,-17.3,-11.5,-5.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Houston Oilers*,11,5,.688,386,251,135,8.4,-0.1,8.4,4.9,3.4
8,Pittsburgh Steelers,7,9,.438,292,344,-52,-3.3,0.3,-2.9,-0.8,-2.2
9,Cleveland Browns,6,10,.375,293,298,-5,-0.3,0.0,-0.4,-0.7,0.4
10,Cincinnati Bengals,3,13,.188,263,435,-172,-10.8,2.1,-8.7,-1.8,-6.9
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,12,4,.750,304,235,69,4.3,-0.9,3.4,0.3,3.1
13,Kansas City Chiefs+,10,6,.625,322,252,70,4.4,2.0,6.4,1.8,4.5
14,Los Angeles Raiders+,9,7,.563,298,297,1,0.1,1.3,1.4,0.3,1.1
15,Seattle Seahawks,7,9,.438,276,261,15,0.9,0.2,1.2,-1.5,2.7
16,San Diego Chargers,4,12,.250,274,342,-68,-4.3,2.0,-2.2,-0.6,-1.7
