,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,11,5,.688,418,313,105,6.6,-1.5,5.1,4.9,0.2
2,Buffalo Bills+,10,6,.625,319,266,53,3.3,-0.4,2.9,-1.0,3.9
3,Indianapolis Colts+,9,7,.563,317,334,-17,-1.1,-0.6,-1.6,-1.8,0.2
4,Miami Dolphins,8,8,.500,339,325,14,0.9,-0.6,0.3,0.6,-0.4
5,New York Jets,1,15,.063,279,454,-175,-10.9,0.8,-10.1,-2.5,-7.6
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,10,6,.625,344,257,87,5.4,-0.3,5.2,0.0,5.1
8,Jacksonville Jaguars+,9,7,.563,325,335,-10,-0.6,-0.9,-1.5,-1.6,0.1
9,Cincinnati Bengals,8,8,.500,372,369,3,0.2,-0.3,-0.1,2.5,-2.6
10,Houston Oilers,8,8,.500,345,319,26,1.6,-0.7,1.0,0.1,0.8
11,Baltimore Ravens,4,12,.250,371,441,-70,-4.4,1.4,-2.9,3.9,-6.8
12,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
13,Denver Broncos*,13,3,.813,391,275,116,7.3,0.3,7.6,3.7,3.9
14,Kansas City Chiefs,9,7,.563,297,300,-3,-0.2,2.0,1.8,-0.7,2.5
15,San Diego Chargers,8,8,.500,310,376,-66,-4.1,2.4,-1.8,0.4,-2.1
16,Oakland Raiders,7,9,.438,340,293,47,2.9,-0.5,2.4,0.3,2.1
17,Seattle Seahawks,7,9,.438,317,376,-59,-3.7,2.0,-1.7,1.0,-2.6
