,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,10,6,.625,341,257,84,5.3,-0.9,4.3,0.3,4.0
2,New England Patriots,9,7,.563,411,326,85,5.3,-0.2,5.1,6.1,-1.1
3,New York Jets,8,8,.500,337,383,-46,-2.9,0.0,-2.9,1.1,-4.0
4,Buffalo Bills,7,9,.438,268,279,-11,-0.7,0.4,-0.2,-3.3,3.1
5,Baltimore Colts,5,11,.313,271,351,-80,-5.0,1.5,-3.5,-2.0,-1.5
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,12,4,.750,416,262,154,9.6,2.3,11.9,6.8,5.1
8,Houston Oilers+,11,5,.688,362,331,31,1.9,2.4,4.4,2.9,1.4
9,Cleveland Browns,9,7,.563,359,352,7,0.4,2.6,3.0,2.9,0.1
10,Cincinnati Bengals,4,12,.250,337,421,-84,-5.3,3.9,-1.3,3.1,-4.4
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,San Diego Chargers*,12,4,.750,411,246,165,10.3,1.5,11.8,6.0,5.7
13,Denver Broncos+,10,6,.625,289,262,27,1.7,2.4,4.1,-1.6,5.7
14,Seattle Seahawks,9,7,.563,378,372,6,0.4,2.2,2.6,4.9,-2.3
15,Oakland Raiders,9,7,.563,365,337,28,1.8,2.0,3.8,3.8,0.0
16,Kansas City Chiefs,7,9,.438,238,262,-24,-1.5,2.9,1.4,-4.0,5.4
