,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,11,5,0,.688,412,307,105,6.6,-0.9,5.7,4.4,1.3
2,New York Jets+,10,6,0,.625,364,386,-22,-1.4,0.0,-1.4,2.0,-3.3
3,Miami Dolphins,8,8,0,.500,430,405,25,1.6,-1.1,0.5,6.2,-5.7
4,Buffalo Bills,4,12,0,.250,287,348,-61,-3.8,-2.0,-5.8,-5.0,-0.8
5,Indianapolis Colts,3,13,0,.188,229,400,-171,-10.7,0.3,-10.4,-6.6,-3.8
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cleveland Browns*,12,4,0,.750,391,310,81,5.1,-1.4,3.6,2.9,0.7
8,Cincinnati Bengals,10,6,0,.625,409,394,15,0.9,0.5,1.5,5.7,-4.2
9,Pittsburgh Steelers,6,10,0,.375,307,336,-29,-1.8,0.9,-1.0,-1.3,0.3
10,Houston Oilers,5,11,0,.313,274,329,-55,-3.4,-0.5,-3.9,-4.4,0.4
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,11,5,0,.688,378,327,51,3.2,2.0,5.2,3.4,1.8
13,Kansas City Chiefs+,10,6,0,.625,358,326,32,2.0,-1.0,1.0,1.2,-0.1
14,Seattle Seahawks,10,6,0,.625,366,293,73,4.6,1.8,6.4,2.4,4.0
15,Los Angeles Raiders,8,8,0,.500,323,346,-23,-1.4,1.6,0.2,0.0,0.2
16,San Diego Chargers,4,12,0,.250,335,396,-61,-3.8,1.9,-1.9,1.2,-3.1
