,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Indianapolis Colts*,13,3,.813,423,333,90,5.6,0.5,6.1,6.6,-0.5
2,Buffalo Bills+,11,5,.688,320,229,91,5.7,1.5,7.1,-0.2,7.4
3,Miami Dolphins+,9,7,.563,326,336,-10,-0.6,2.5,1.9,1.2,0.7
4,New York Jets,8,8,.500,308,309,-1,-0.1,3.1,3.1,0.2,2.9
5,New England Patriots,8,8,.500,299,284,15,0.9,1.3,2.2,-1.0,3.2
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Jacksonville Jaguars*,14,2,.875,396,217,179,11.2,-4.8,6.4,1.3,5.1
8,Tennessee Titans+,13,3,.813,392,324,68,4.3,-3.2,1.0,2.0,-1.0
9,Baltimore Ravens,8,8,.500,324,277,47,2.9,-2.0,0.9,-1.6,2.5
10,Pittsburgh Steelers,6,10,.375,317,320,-3,-0.2,-2.2,-2.4,-2.2,-0.2
11,Cincinnati Bengals,4,12,.250,283,460,-177,-11.1,-0.5,-11.5,-3.3,-8.2
12,Cleveland Browns,2,14,.125,217,437,-220,-13.8,-0.3,-14.1,-7.6,-6.5
13,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
14,Seattle Seahawks*,9,7,.563,338,298,40,2.5,2.0,4.5,1.9,2.6
15,Kansas City Chiefs,9,7,.563,390,322,68,4.3,2.6,6.8,5.5,1.3
16,San Diego Chargers,8,8,.500,269,316,-47,-2.9,2.0,-1.0,-3.9,2.9
17,Oakland Raiders,8,8,.500,390,329,61,3.8,2.9,6.8,5.7,1.0
18,Denver Broncos,6,10,.375,314,318,-4,-0.3,3.6,3.4,1.0,2.4
