,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Baltimore Colts*,11,3,0,.786,417,246,171,12.2,-2.5,9.8,9.3,0.4
2,New England Patriots+,11,3,0,.786,376,236,140,10.0,-1.4,8.6,6.5,2.2
3,Miami Dolphins,6,8,0,.429,263,264,-1,-0.1,0.0,-0.1,-1.8,1.7
4,New York Jets,3,11,0,.214,169,383,-214,-15.3,1.5,-13.8,-7.1,-6.8
5,Buffalo Bills,2,12,0,.143,245,363,-118,-8.4,-0.8,-9.2,-2.5,-6.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,10,4,0,.714,342,138,204,14.6,0.8,15.3,5.7,9.6
8,Cincinnati Bengals,10,4,0,.714,335,210,125,8.9,1.2,10.1,5.0,5.1
9,Cleveland Browns,9,5,0,.643,267,287,-20,-1.4,-0.3,-1.7,0.7,-2.4
10,Houston Oilers,5,9,0,.357,222,273,-51,-3.6,1.9,-1.8,-2.7,1.0
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,13,1,0,.929,350,237,113,8.1,0.4,8.5,6.3,2.2
13,Denver Broncos,9,5,0,.643,315,206,109,7.8,-0.8,6.9,2.5,4.4
14,San Diego Chargers,6,8,0,.429,248,285,-37,-2.6,1.5,-1.2,-1.7,0.5
15,Kansas City Chiefs,5,9,0,.357,290,376,-86,-6.1,1.4,-4.7,2.2,-6.9
16,Tampa Bay Buccaneers,0,14,0,.000,125,412,-287,-20.5,0.8,-19.7,-10.8,-8.8
