,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New York Jets*,12,4,.750,416,266,150,9.4,1.8,11.2,5.4,5.8
2,Miami Dolphins+,10,6,.625,321,265,56,3.5,2.4,5.9,-0.7,6.5
3,Buffalo Bills+,10,6,.625,400,333,67,4.2,1.0,5.2,4.4,0.7
4,New England Patriots+,9,7,.563,337,329,8,0.5,3.4,3.9,1.1,2.8
5,Indianapolis Colts,3,13,.188,310,444,-134,-8.4,3.0,-5.4,-0.1,-5.3
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Jacksonville Jaguars*,11,5,.688,392,338,54,3.4,-0.9,2.5,3.1,-0.6
8,Tennessee Oilers,8,8,.500,330,320,10,0.6,-0.6,0.0,-0.5,0.5
9,Pittsburgh Steelers,7,9,.438,263,303,-40,-2.5,-1.3,-3.8,-5.1,1.3
10,Baltimore Ravens,6,10,.375,269,335,-66,-4.1,-1.3,-5.4,-5.2,-0.2
11,Cincinnati Bengals,3,13,.188,268,452,-184,-11.5,0.5,-11.0,-4.5,-6.5
12,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
13,Denver Broncos*,14,2,.875,501,309,192,12.0,-3.1,8.9,9.5,-0.6
14,Oakland Raiders,8,8,.500,288,356,-68,-4.3,-1.4,-5.6,-4.1,-1.5
15,Seattle Seahawks,8,8,.500,372,310,62,3.9,-2.4,1.5,0.9,0.6
16,Kansas City Chiefs,7,9,.438,327,363,-36,-2.3,-0.8,-3.1,-0.7,-2.4
17,San Diego Chargers,5,11,.313,241,342,-101,-6.3,-2.1,-8.4,-7.7,-0.7
