,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,10,6,.625,389,327,62,3.9,0.3,4.2,4.5,-0.3
2,New England Patriots+,10,6,.625,351,312,39,2.4,0.8,3.2,1.9,1.3
3,Indianapolis Colts,8,8,.500,307,320,-13,-0.8,-0.7,-1.5,-1.3,-0.2
4,Buffalo Bills,7,9,.438,340,356,-16,-1.0,0.8,-0.2,1.5,-1.8
5,New York Jets,6,10,.375,264,320,-56,-3.5,1.3,-2.2,-3.7,1.5
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,12,4,.750,316,234,82,5.1,-0.4,4.7,-0.2,5.0
8,Cleveland Browns+,11,5,.688,340,204,136,8.5,-1.2,7.3,1.2,6.1
9,Cincinnati Bengals,3,13,.188,276,406,-130,-8.1,1.2,-6.9,-1.6,-5.4
10,Houston Oilers,2,14,.125,226,352,-126,-7.9,0.6,-7.3,-4.7,-2.6
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,San Diego Chargers*,11,5,.688,381,306,75,4.7,-1.1,3.6,2.9,0.7
13,Kansas City Chiefs+,9,7,.563,319,298,21,1.3,-0.4,0.9,-1.3,2.1
14,Los Angeles Raiders,9,7,.563,303,327,-24,-1.5,-0.1,-1.6,-1.9,0.3
15,Denver Broncos,7,9,.438,347,396,-49,-3.1,-0.3,-3.3,1.3,-4.6
16,Seattle Seahawks,6,10,.375,287,323,-36,-2.3,-1.2,-3.4,-2.8,-0.6
