,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Baltimore Colts*,10,4,.714,295,221,74,5.3,-0.3,5.0,3.6,1.5
2,Miami Dolphins,10,4,.714,313,197,116,8.3,-0.5,7.8,4.4,3.5
3,New England Patriots,9,5,.643,278,217,61,4.4,-0.4,4.0,2.5,1.5
4,Buffalo Bills,3,11,.214,160,313,-153,-10.9,3.0,-7.9,-4.3,-3.7
5,New York Jets,3,11,.214,191,300,-109,-7.8,1.9,-5.9,-3.8,-2.0
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,9,5,.643,283,243,40,2.9,3.4,6.2,3.9,2.3
8,Cincinnati Bengals,8,6,.571,238,235,3,0.2,2.0,2.2,0.6,1.6
9,Houston Oilers,8,6,.571,299,230,69,4.9,1.7,6.6,4.4,2.3
10,Cleveland Browns,6,8,.429,269,267,2,0.1,2.4,2.5,2.4,0.1
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Denver Broncos*,12,2,.857,274,148,126,9.0,2.3,11.3,1.9,9.4
13,Oakland Raiders+,11,3,.786,351,230,121,8.6,1.7,10.4,8.8,1.6
14,San Diego Chargers,7,7,.500,222,205,17,1.2,2.5,3.7,-1.4,5.2
15,Seattle Seahawks,5,9,.357,282,373,-91,-6.5,2.2,-4.3,4.2,-8.6
16,Kansas City Chiefs,2,12,.143,225,349,-124,-8.9,3.9,-4.9,0.9,-5.8
