,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,12,4,.750,329,242,87,5.4,-0.6,4.8,1.8,3.0
2,Miami Dolphins,9,7,.563,349,351,-2,-0.1,-0.3,-0.5,3.9,-4.3
3,New York Jets,8,8,.500,270,247,23,1.4,-0.6,0.8,-2.1,2.9
4,New England Patriots,5,11,.313,238,286,-48,-3.0,-0.8,-3.8,-4.0,0.3
5,Indianapolis Colts,4,12,.250,189,378,-189,-11.8,0.5,-11.3,-6.2,-5.1
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Houston Oilers*,12,4,.750,368,238,130,8.1,-0.9,7.2,4.1,3.1
8,Pittsburgh Steelers+,9,7,.563,308,281,27,1.7,-0.2,1.5,0.1,1.5
9,Cleveland Browns,7,9,.438,304,307,-3,-0.2,-1.0,-1.2,-0.6,-0.6
10,Cincinnati Bengals,3,13,.188,187,319,-132,-8.3,-0.2,-8.4,-7.4,-1.0
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Kansas City Chiefs*,11,5,.688,328,291,37,2.3,0.6,2.9,1.9,1.0
13,Los Angeles Raiders+,10,6,.625,306,326,-20,-1.3,0.6,-0.7,1.1,-1.7
14,Denver Broncos+,9,7,.563,373,284,89,5.6,-0.5,5.0,4.6,0.4
15,San Diego Chargers,8,8,.500,322,290,32,2.0,0.3,2.3,1.1,1.1
16,Seattle Seahawks,6,10,.375,280,314,-34,-2.1,0.9,-1.2,-0.8,-0.5
