,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Baltimore Colts*,11,2,1,.846,321,234,87,6.2,-5.8,0.4,0.9,-0.5
2,Miami Dolphins+,10,4,0,.714,297,228,69,4.9,-6.3,-1.3,-1.3,0.0
3,New York Jets,4,10,0,.286,255,286,-31,-2.2,-2.7,-4.9,-2.2,-2.7
4,Buffalo Bills,3,10,1,.231,204,337,-133,-9.5,-2.8,-12.3,-5.8,-6.5
5,Boston Patriots,2,12,0,.143,149,361,-212,-15.1,-0.7,-15.9,-9.1,-6.8
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cincinnati Bengals*,8,6,0,.571,312,255,57,4.1,-3.5,0.5,1.2,-0.6
8,Cleveland Browns,7,7,0,.500,286,265,21,1.5,-0.9,0.6,0.5,0.1
9,Pittsburgh Steelers,5,9,0,.357,210,272,-62,-4.4,-3.0,-7.4,-5.9,-1.5
10,Houston Oilers,3,10,1,.231,217,352,-135,-9.6,0.4,-9.2,-3.5,-5.8
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,8,4,2,.667,300,293,7,0.5,0.5,1.0,2.3,-1.3
13,Kansas City Chiefs,7,5,2,.583,272,244,28,2.0,-0.5,1.5,-0.1,1.6
14,San Diego Chargers,5,6,3,.455,282,278,4,0.3,-1.0,-0.7,0.5,-1.2
15,Denver Broncos,5,8,1,.385,253,264,-11,-0.8,-1.8,-2.6,-2.5,-0.1
