,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,10,6,0,.625,369,289,80,5.0,0.3,5.3,2.3,3.0
2,Miami Dolphins+,9,7,0,.563,339,327,12,0.8,0.6,1.3,1.0,0.3
3,New York Jets,9,7,0,.563,348,287,61,3.8,-0.9,2.9,0.1,2.8
4,Buffalo Bills,6,10,0,.375,255,367,-112,-7.0,2.5,-4.5,-4.0,-0.5
5,Indianapolis Colts,3,13,0,.188,313,401,-88,-5.5,1.2,-4.3,-0.6,-3.8
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,11,5,0,.688,372,307,65,4.1,1.3,5.3,2.7,2.6
8,Jacksonville Jaguars+,11,5,0,.688,394,318,76,4.8,0.7,5.5,4.4,1.0
9,Tennessee Oilers,8,8,0,.500,333,310,23,1.4,0.2,1.7,-0.3,1.9
10,Cincinnati Bengals,7,9,0,.438,355,405,-50,-3.1,1.0,-2.2,1.8,-4.0
11,Baltimore Ravens,6,9,1,.406,326,345,-19,-1.2,0.6,-0.6,-0.4,-0.2
12,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
13,Kansas City Chiefs*,13,3,0,.813,375,232,143,8.9,-0.5,8.4,1.8,6.6
14,Denver Broncos+,12,4,0,.750,472,287,185,11.6,-0.9,10.7,8.1,2.6
15,Seattle Seahawks,8,8,0,.500,365,362,3,0.2,0.0,0.1,1.8,-1.7
16,Oakland Raiders,4,12,0,.250,324,419,-95,-5.9,0.8,-5.1,-0.1,-5.0
17,San Diego Chargers,4,12,0,.250,266,425,-159,-9.9,1.0,-8.9,-4.1,-4.8
