,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,12,4,0,.750,329,237,92,5.8,0.6,6.4,0.0,6.4
2,Indianapolis Colts,9,7,0,.563,354,315,39,2.4,0.8,3.2,2.9,0.3
3,New England Patriots,9,7,0,.563,250,284,-34,-2.1,2.0,-0.2,-4.5,4.4
4,New York Jets,8,7,1,.531,372,354,18,1.1,0.3,1.4,3.7,-2.4
5,Miami Dolphins,6,10,0,.375,319,380,-61,-3.8,1.0,-2.8,1.0,-3.9
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cincinnati Bengals*,12,4,0,.750,448,329,119,7.4,-1.3,6.1,7.1,-1.0
8,Cleveland Browns+,10,6,0,.625,304,288,16,1.0,-0.5,0.5,-3.5,4.0
9,Houston Oilers+,10,6,0,.625,424,365,59,3.7,-0.7,3.0,5.3,-2.3
10,Pittsburgh Steelers,5,11,0,.313,336,421,-85,-5.3,0.0,-5.3,0.1,-5.5
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Seattle Seahawks*,9,7,0,.563,339,329,10,0.6,-1.4,-0.7,1.2,-2.0
13,Denver Broncos,8,8,0,.500,327,352,-25,-1.6,-1.8,-3.3,0.1,-3.4
14,Los Angeles Raiders,7,9,0,.438,325,369,-44,-2.8,-0.8,-3.6,-0.3,-3.3
15,San Diego Chargers,6,10,0,.375,231,332,-101,-6.3,-1.1,-7.4,-7.1,-0.2
16,Kansas City Chiefs,4,11,1,.281,254,320,-66,-4.1,-1.6,-5.7,-6.0,0.3
