,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,14,0,0,1.000,385,171,214,15.3,-4.3,11.0,4.5,6.5
2,New York Jets,7,7,0,.500,367,324,43,3.1,-2.6,0.5,4.7,-4.2
3,Baltimore Colts,5,9,0,.357,235,252,-17,-1.2,-1.1,-2.3,-5.1,2.8
4,Buffalo Bills,4,9,1,.321,257,377,-120,-8.6,1.4,-7.2,-1.6,-5.6
5,New England Patriots,3,11,0,.214,192,446,-254,-18.1,0.7,-17.4,-6.3,-11.1
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,11,3,0,.786,343,175,168,12.0,-2.0,10.0,3.4,6.6
8,Cleveland Browns+,10,4,0,.714,268,249,19,1.4,-1.1,0.3,-1.6,1.9
9,Cincinnati Bengals,8,6,0,.571,299,229,70,5.0,-0.9,4.1,1.2,3.0
10,Houston Oilers,1,13,0,.071,164,380,-216,-15.4,2.4,-13.0,-7.1,-5.9
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,10,3,1,.750,365,248,117,8.4,-0.3,8.0,5.0,3.0
13,Kansas City Chiefs,8,6,0,.571,287,254,33,2.4,0.2,2.6,0.4,2.2
14,Denver Broncos,5,9,0,.357,325,350,-25,-1.8,-0.1,-1.9,2.9,-4.7
15,San Diego Chargers,4,9,1,.321,264,344,-80,-5.7,2.9,-2.8,-0.2,-2.6
