,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,10,3,1,.769,315,174,141,10.1,-2.4,7.7,2.4,5.3
2,Baltimore Colts+,10,4,0,.714,313,140,173,12.4,-1.9,10.4,2.0,8.5
3,New England Patriots,6,8,0,.429,238,325,-87,-6.2,1.1,-5.1,-2.1,-3.0
4,New York Jets,6,8,0,.429,212,299,-87,-6.2,0.8,-5.4,-3.7,-1.6
5,Buffalo Bills,1,13,0,.071,184,394,-210,-15.0,1.6,-13.4,-4.5,-8.9
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cleveland Browns*,9,5,0,.643,285,273,12,0.9,-0.6,0.3,1.1,-0.8
8,Pittsburgh Steelers,6,8,0,.429,246,292,-46,-3.3,-0.3,-3.6,-1.8,-1.8
9,Houston Oilers,4,9,1,.308,251,330,-79,-5.6,-1.1,-6.7,-3.0,-3.8
10,Cincinnati Bengals,4,10,0,.286,284,265,19,1.4,-1.9,-0.5,-0.4,-0.1
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Kansas City Chiefs*,10,3,1,.769,302,208,94,6.7,-1.7,5.1,0.6,4.5
13,Oakland Raiders,8,4,2,.667,344,278,66,4.7,-1.0,3.7,4.8,-1.1
14,San Diego Chargers,6,8,0,.429,311,341,-30,-2.1,-1.9,-4.1,2.6,-6.6
15,Denver Broncos,4,9,1,.308,203,275,-72,-5.1,0.6,-4.5,-5.5,1.0
