,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,11,5,.688,323,226,97,6.1,1.0,7.1,0.0,7.1
2,Indianapolis Colts+,10,6,.625,429,326,103,6.4,1.5,7.9,7.1,0.8
3,New York Jets,9,7,.563,321,321,0,0.0,3.5,3.5,1.4,2.2
4,Buffalo Bills,8,8,.500,315,350,-35,-2.2,2.2,0.0,0.5,-0.5
5,New England Patriots,5,11,.313,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Tennessee Titans*,13,3,.813,346,191,155,9.7,-1.3,8.3,1.5,6.8
8,Baltimore Ravens+,12,4,.750,333,165,168,10.5,-2.5,8.0,0.0,8.0
9,Pittsburgh Steelers,9,7,.563,321,255,66,4.1,-0.2,3.9,0.6,3.3
10,Jacksonville Jaguars,7,9,.438,367,327,40,2.5,-1.4,1.1,3.2,-2.1
11,Cincinnati Bengals,4,12,.250,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4
12,Cleveland Browns,3,13,.188,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5
13,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
14,Oakland Raiders*,12,4,.750,479,299,180,11.3,-1.5,9.7,8.0,1.8
15,Denver Broncos+,11,5,.688,485,369,116,7.3,-2.2,5.0,7.8,-2.7
16,Kansas City Chiefs,7,9,.438,355,354,1,0.1,0.6,0.6,0.1,0.6
17,Seattle Seahawks,6,10,.375,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3
18,San Diego Chargers,1,15,.063,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4
