,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,11,5,0,.688,320,260,60,3.8,0.2,3.9,-1.6,5.5
2,New England Patriots,10,6,0,.625,441,325,116,7.3,-0.8,6.5,6.8,-0.3
3,Miami Dolphins,8,8,0,.500,266,305,-39,-2.4,0.9,-1.6,-4.6,3.1
4,Baltimore Colts,7,9,0,.438,355,387,-32,-2.0,0.5,-1.5,2.8,-4.3
5,New York Jets,4,12,0,.250,302,395,-93,-5.8,0.7,-5.1,-1.5,-3.6
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cleveland Browns*,11,5,0,.688,357,310,47,2.9,-1.1,1.8,1.7,0.1
8,Houston Oilers+,11,5,0,.688,295,251,44,2.8,-1.1,1.6,-2.7,4.4
9,Pittsburgh Steelers,9,7,0,.563,352,313,39,2.4,-0.2,2.3,2.4,-0.1
10,Cincinnati Bengals,6,10,0,.375,244,312,-68,-4.3,0.6,-3.7,-4.5,0.8
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,San Diego Chargers*,11,5,0,.688,418,327,91,5.7,0.4,6.0,6.5,-0.4
13,Oakland Raiders+,11,5,0,.688,364,306,58,3.6,0.6,4.2,2.9,1.3
14,Kansas City Chiefs,8,8,0,.500,319,336,-17,-1.1,0.6,-0.5,-0.8,0.3
15,Denver Broncos,8,8,0,.500,310,323,-13,-0.8,1.3,0.5,-1.1,1.6
16,Seattle Seahawks,4,12,0,.250,291,408,-117,-7.3,2.0,-5.3,-1.6,-3.7
