,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,11,3,0,.786,327,216,111,7.9,-1.8,6.1,3.9,2.3
2,Buffalo Bills+,9,5,0,.643,264,244,20,1.4,-0.4,1.0,-0.3,1.4
3,New England Patriots,7,7,0,.500,348,289,59,4.2,0.6,4.8,6.6,-1.8
4,New York Jets,7,7,0,.500,279,300,-21,-1.5,-1.0,-2.5,1.1,-3.7
5,Baltimore Colts,2,12,0,.143,190,329,-139,-9.9,1.3,-8.7,-4.6,-4.1
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,10,3,1,.750,305,189,116,8.3,-1.5,6.8,2.3,4.5
8,Houston Oilers,7,7,0,.500,236,282,-46,-3.3,1.4,-1.9,-1.3,-0.6
9,Cincinnati Bengals,7,7,0,.500,283,259,24,1.7,0.5,2.2,1.9,0.2
10,Cleveland Browns,4,10,0,.286,251,344,-93,-6.6,2.4,-4.2,0.5,-4.7
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Oakland Raiders*,12,2,0,.857,355,228,127,9.1,-0.1,9.0,6.4,2.7
13,Denver Broncos,7,6,1,.536,302,294,8,0.6,0.1,0.6,3.4,-2.8
14,Kansas City Chiefs,5,9,0,.357,233,293,-60,-4.3,1.9,-2.4,-1.3,-1.1
15,San Diego Chargers,5,9,0,.357,212,285,-73,-5.2,0.4,-4.8,-3.5,-1.3
