,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Miami Dolphins*,12,4,0,.750,389,250,139,8.7,-1.0,7.7,2.6,5.2
2,New England Patriots,8,8,0,.500,274,289,-15,-0.9,-0.1,-1.0,-4.7,3.7
3,Buffalo Bills,8,8,0,.500,283,351,-68,-4.3,0.5,-3.8,-3.4,-0.4
4,Baltimore Colts,7,9,0,.438,264,354,-90,-5.6,-1.2,-6.9,-4.1,-2.7
5,New York Jets,7,9,0,.438,313,331,-18,-1.1,-0.1,-1.2,-1.9,0.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,10,6,0,.625,355,303,52,3.3,-3.3,-0.1,-1.2,1.1
8,Cleveland Browns,9,7,0,.563,356,342,14,0.9,-3.1,-2.2,-0.9,-1.3
9,Cincinnati Bengals,7,9,0,.438,346,302,44,2.8,-2.3,0.5,-1.2,1.7
10,Houston Oilers,2,14,0,.125,288,460,-172,-10.8,-0.8,-11.5,-3.7,-7.9
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Los Angeles Raiders*,12,4,0,.750,442,338,104,6.5,0.3,6.8,5.1,1.7
13,Seattle Seahawks+,9,7,0,.563,403,397,6,0.4,1.1,1.5,3.4,-2.0
14,Denver Broncos+,9,7,0,.563,302,327,-25,-1.6,-1.2,-2.8,-4.1,1.3
15,San Diego Chargers,6,10,0,.375,358,462,-104,-6.5,1.9,-4.6,1.1,-5.7
16,Kansas City Chiefs,6,10,0,.375,386,367,19,1.2,0.9,2.0,1.7,0.3
