,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,San Francisco 49ers,14.0,278.0,496.0,56.0,3158.0,22.0,4.4,26.0,5.2,80.0,6.8,5.3,12.2,225.6,70.1,27.0,221.0,5.2,6.0,4.6,2.0,2.0
1,2.0,Baltimore Colts,14.0,225.0,429.0,52.4,2987.0,17.0,4.0,27.0,6.3,52.0,7.3,5.3,14.0,213.4,63.3,19.0,156.0,4.2,6.7,4.7,3.0,3.0
2,3.0,New Orleans Saints,14.0,245.0,453.0,54.1,2974.0,22.0,4.9,20.0,4.4,70.0,7.1,6.1,13.1,212.4,74.5,27.0,241.0,5.6,6.2,5.2,4.0,4.0
3,4.0,Dallas Cowboys,14.0,189.0,355.0,53.2,2846.0,24.0,6.8,18.0,5.1,75.0,9.0,8.1,17.0,203.3,85.6,44.0,366.0,11.0,7.1,6.3,2.0,2.0
4,5.0,Washington Redskins,14.0,275.0,444.0,61.9,2784.0,22.0,5.0,16.0,3.6,88.0,7.0,6.4,11.3,198.9,84.3,40.0,322.0,8.3,5.8,5.2,2.0,0.0
5,6.0,Philadelphia Eagles,14.0,216.0,458.0,47.2,2782.0,20.0,4.4,28.0,6.1,80.0,6.6,4.7,14.0,198.7,58.0,29.0,240.0,6.0,5.7,3.9,3.0,2.0
6,7.0,New York Giants,14.0,234.0,435.0,53.8,2775.0,24.0,5.5,8.0,1.8,65.0,7.1,7.3,13.1,198.2,87.1,37.0,301.0,7.8,5.9,6.1,4.0,4.0
7,8.0,St. Louis Cardinals,14.0,216.0,430.0,50.2,2739.0,19.0,4.4,25.0,5.8,84.0,6.8,5.1,13.6,195.6,62.9,21.0,201.0,4.7,6.1,4.4,2.0,1.0
8,9.0,Cleveland Browns,14.0,199.0,378.0,52.6,2640.0,24.0,6.3,21.0,5.6,82.0,7.5,6.3,14.2,188.6,75.2,20.0,190.0,5.0,6.6,5.5,2.0,2.0
9,10.0,Los Angeles Rams,14.0,222.0,416.0,53.4,2521.0,25.0,6.0,7.0,1.7,93.0,6.4,6.8,11.9,180.1,86.1,17.0,129.0,3.9,5.8,6.2,1.0,1.0
10,11.0,Green Bay Packers,14.0,182.0,319.0,57.1,2376.0,20.0,6.3,17.0,5.3,60.0,8.4,7.3,14.7,169.7,83.3,34.0,302.0,9.6,6.7,5.7,1.0,2.0
11,12.0,Minnesota Vikings,14.0,176.0,346.0,50.9,2246.0,24.0,6.9,18.0,5.2,83.0,7.2,6.3,14.2,160.4,76.0,34.0,252.0,8.9,5.9,5.0,2.0,2.0
12,13.0,Pittsburgh Steelers,14.0,176.0,391.0,45.0,2084.0,17.0,4.3,29.0,7.4,63.0,6.3,3.8,14.0,148.9,49.4,52.0,374.0,11.7,4.7,2.5,1.0,1.0
13,14.0,Atlanta Falcons,14.0,149.0,282.0,52.8,1753.0,20.0,7.1,12.0,4.3,88.0,7.9,7.4,15.0,125.2,85.0,63.0,477.0,18.3,5.1,4.7,,
14,15.0,Detroit Lions,14.0,165.0,329.0,50.2,1600.0,12.0,3.6,18.0,5.5,62.0,6.0,4.2,11.9,114.3,58.0,42.0,358.0,11.3,4.3,2.8,2.0,1.0
15,16.0,Chicago Bears,14.0,193.0,384.0,50.3,1490.0,11.0,2.9,21.0,5.5,48.0,5.0,3.1,10.0,106.4,51.7,55.0,439.0,12.5,3.4,1.7,,
16,,Avg Team,,208.8,396.6,52.6,2484.7,20.2,5.1,19.4,4.9,73.0,7.0,5.8,13.3,177.5,71.6,35.1,285.6,8.1,5.76,4.7,1.9,1.7
17,,League Total,,3340.0,6345.0,52.6,39755.0,323.0,5.1,311.0,4.9,93.0,7.0,5.8,13.3,177.5,71.6,561.0,4569.0,8.1,5.76,4.7,31.0,27.0
18,,Avg Tm/G,,14.9,28.3,52.6,177.5,1.4,5.1,1.4,4.9,,7.0,5.8,13.3,177.5,71.6,2.5,20.4,8.1,5.76,4.7,,
