,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,St. Louis Rams,16.0,379.0,551.0,68.8,4663.0,37.0,6.7,22.0,4.0,65.0,8.9,8.4,12.9,291.4,102.2,40.0,240.0,6.8,7.9,7.5,1.0,2.0,75.49
1,2.0,Indianapolis Colts,16.0,349.0,557.0,62.7,3989.0,27.0,4.8,23.0,4.1,86.0,7.6,6.7,12.1,249.3,84.9,30.0,238.0,5.1,6.8,6.0,,,-8.08
2,3.0,Green Bay Packers,16.0,314.0,510.0,61.6,3770.0,32.0,6.3,15.0,2.9,67.0,7.7,7.6,12.5,235.6,94.1,22.0,151.0,4.1,7.1,7.0,1.0,2.0,19.08
3,4.0,Oakland Raiders,16.0,364.0,553.0,65.8,3707.0,27.0,4.9,9.0,1.6,49.0,7.0,7.2,10.6,231.7,95.5,27.0,155.0,4.7,6.4,6.6,1.0,2.0,59.24
4,5.0,Kansas City Chiefs,16.0,300.0,528.0,56.8,3665.0,17.0,3.2,24.0,4.5,67.0,7.3,5.9,12.9,229.1,71.7,39.0,198.0,6.9,6.5,5.2,2.0,3.0,-74.42
5,6.0,Detroit Lions,16.0,343.0,609.0,56.3,3596.0,18.0,3.0,24.0,3.9,76.0,6.5,5.3,11.6,224.8,69.6,66.0,373.0,9.8,5.3,4.3,2.0,2.0,-91.89
6,7.0,Minnesota Vikings,16.0,335.0,555.0,60.4,3576.0,23.0,4.1,23.0,4.1,80.0,6.9,5.9,11.5,223.5,77.9,47.0,278.0,7.8,5.9,5.0,2.0,2.0,-120.42
7,8.0,Tennessee Titans,16.0,307.0,515.0,59.6,3558.0,23.0,4.5,17.0,3.3,71.0,7.5,6.9,12.6,222.4,84.2,43.0,309.0,7.7,6.4,5.8,1.0,4.0,-19.82
8,9.0,New York Giants,16.0,327.0,568.0,57.6,3558.0,19.0,3.3,16.0,2.8,76.0,6.6,6.0,11.5,222.4,77.1,36.0,206.0,6.0,5.9,5.3,3.0,4.0,-50.93
9,10.0,New Orleans Saints,16.0,313.0,562.0,55.7,3514.0,27.0,4.8,22.0,3.9,63.0,6.8,6.0,12.3,219.6,76.7,50.0,330.0,8.2,5.7,5.0,2.0,3.0,-47.38
10,11.0,San Diego Chargers,16.0,309.0,548.0,56.4,3505.0,16.0,2.9,18.0,3.3,78.0,6.7,5.8,11.9,219.1,73.1,27.0,180.0,4.7,6.1,5.2,1.0,1.0,-35.44
11,12.0,Buffalo Bills,16.0,327.0,557.0,58.7,3451.0,18.0,3.2,20.0,3.6,80.0,6.7,5.7,11.4,215.7,74.7,46.0,271.0,7.6,5.7,4.8,1.0,2.0,-107.04
12,13.0,Arizona Cardinals,16.0,304.0,526.0,57.8,3449.0,18.0,3.4,14.0,2.7,68.0,6.9,6.4,12.0,215.6,79.5,29.0,204.0,5.2,6.2,5.7,3.0,4.0,-26.55
13,14.0,San Francisco 49ers,16.0,318.0,506.0,62.8,3445.0,32.0,6.3,12.0,2.4,61.0,7.0,7.2,11.2,215.3,95.0,26.0,114.0,4.9,6.5,6.7,4.0,4.0,43.78
14,15.0,Tampa Bay Buccaneers,16.0,362.0,592.0,61.1,3323.0,13.0,2.2,12.0,2.0,47.0,6.1,5.6,10.0,207.7,77.4,47.0,298.0,7.4,5.2,4.8,3.0,5.0,-53.07
15,16.0,Baltimore Ravens,16.0,320.0,557.0,57.5,3314.0,18.0,3.2,20.0,3.6,77.0,6.5,5.5,11.2,207.1,72.7,40.0,281.0,6.7,5.6,4.6,3.0,6.0,-104.46
16,17.0,Atlanta Falcons,16.0,278.0,485.0,57.3,3308.0,19.0,3.9,17.0,3.5,94.0,7.6,6.8,13.3,206.8,80.0,64.0,387.0,11.7,6.0,5.3,1.0,3.0,-74.57
17,18.0,Jacksonville Jaguars,16.0,321.0,534.0,60.1,3240.0,20.0,3.7,14.0,2.6,45.0,6.9,6.4,11.4,202.5,82.4,63.0,430.0,10.6,5.4,5.0,1.0,1.0,-53.73
18,19.0,Miami Dolphins,16.0,275.0,453.0,60.7,3157.0,20.0,4.4,19.0,4.2,74.0,7.4,6.4,12.1,197.3,80.6,27.0,178.0,5.6,6.6,5.6,4.0,4.0,-47.94
19,20.0,Philadelphia Eagles,16.0,300.0,522.0,57.5,3145.0,27.0,5.2,14.0,2.7,64.0,6.6,6.4,11.4,196.6,83.4,40.0,282.0,7.1,5.6,5.4,3.0,3.0,-57.93
20,21.0,Pittsburgh Steelers,16.0,274.0,454.0,60.4,3113.0,16.0,3.5,12.0,2.6,90.0,7.3,6.8,12.0,194.6,83.4,31.0,182.0,6.4,6.4,6.0,1.0,1.0,20.54
21,22.0,New England Patriots,16.0,306.0,482.0,63.5,3089.0,21.0,4.4,15.0,3.1,91.0,6.9,6.4,10.9,193.1,85.3,46.0,237.0,8.7,5.9,5.4,3.0,3.0,-38.23
22,23.0,Cincinnati Bengals,16.0,322.0,602.0,53.5,3088.0,12.0,2.0,26.0,4.3,49.0,5.5,3.9,10.2,193.0,58.1,28.0,203.0,4.4,4.9,3.4,3.0,3.0,-161.09
23,24.0,Chicago Bears,16.0,315.0,528.0,59.7,2952.0,20.0,3.8,16.0,3.0,66.0,5.8,5.2,9.8,184.5,76.0,17.0,120.0,3.1,5.4,4.8,5.0,3.0,-134.44
24,25.0,Denver Broncos,16.0,312.0,511.0,61.1,2940.0,26.0,5.1,19.0,3.7,65.0,6.3,5.6,10.3,183.8,80.6,42.0,268.0,7.6,5.3,4.7,1.0,1.0,-101.42
25,26.0,Carolina Panthers,16.0,314.0,579.0,54.2,2882.0,12.0,2.1,22.0,3.8,48.0,5.4,4.1,9.9,180.1,60.6,32.0,216.0,5.2,4.7,3.5,,,-183.22
26,27.0,Seattle Seahawks,16.0,258.0,462.0,55.8,2836.0,15.0,3.2,12.0,2.6,64.0,6.8,6.3,12.3,177.3,77.2,49.0,328.0,9.6,5.5,5.1,0.0,2.0,-43.73
