,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Washington Redskins,11.0,114.0,248.0,46.0,1536.0,9.0,3.6,28.0,11.3,62.0,6.2,1.8,13.5,139.6,38.7,0.0,0.0,0,6.2,1.8,0.0,0.0
1,2.0,Green Bay Packers,11.0,91.0,210.0,43.3,1466.0,20.0,9.5,20.0,9.5,53.0,7.0,4.6,16.1,133.3,59.4,0.0,0.0,0,7.0,4.6,,
2,3.0,Cleveland Rams,11.0,88.0,245.0,35.9,1363.0,9.0,3.7,34.0,13.9,23.0,5.6,0.1,15.5,123.9,27.9,0.0,0.0,0,5.6,0.1,,
3,4.0,Chicago Cardinals,11.0,114.0,240.0,47.5,1340.0,4.0,1.7,26.0,10.8,98.0,5.6,1.0,11.8,121.8,30.9,0.0,0.0,0,5.6,1.0,,
4,5.0,Chicago Bears,11.0,72.0,197.0,36.5,1222.0,12.0,6.1,18.0,9.1,10.0,6.2,3.3,17.0,111.1,40.6,0.0,0.0,0,6.2,3.3,,
5,6.0,New York Giants,11.0,91.0,186.0,48.9,1142.0,10.0,5.4,19.0,10.2,45.0,6.1,2.6,12.5,103.8,46.8,0.0,0.0,0,6.1,2.6,,
6,7.0,Brooklyn Dodgers,11.0,69.0,171.0,40.4,992.0,6.0,3.5,9.0,5.3,19.0,5.8,4.1,14.4,90.2,49.6,0.0,0.0,0,5.8,4.1,0.0,0.0
7,8.0,Philadelphia Eagles,11.0,64.0,191.0,33.5,917.0,15.0,7.9,19.0,9.9,39.0,4.8,1.9,14.3,83.4,36.6,0.0,0.0,0,4.8,1.9,,
8,9.0,Pittsburgh Pirates,11.0,72.0,194.0,37.1,916.0,5.0,2.6,32.0,16.5,0.0,4.7,-2.2,12.7,83.3,21.7,0.0,0.0,0,4.7,-2.2,,
9,10.0,Detroit Lions,11.0,49.0,148.0,33.1,747.0,3.0,2.0,16.0,10.8,35.0,5.0,0.6,15.2,67.9,17.9,0.0,0.0,0,5.0,0.6,0.0,0.0
10,,Avg Team,,82.4,203.0,40.6,1164.1,9.3,4.6,22.1,10.9,38.0,5.7,1.8,14.1,105.8,35.5,0.0,0.0,0,5.73,1.8,0.0,0.0
11,,League Total,,824.0,2030.0,40.6,11641.0,93.0,4.6,221.0,10.9,98.0,5.7,1.8,14.1,105.8,35.5,0.0,0.0,0,5.73,1.8,0.0,0.0
12,,Avg Tm/G,,7.5,18.5,40.6,105.8,0.8,4.6,2.0,10.9,,5.7,1.8,14.1,105.8,35.5,0.0,0.0,0,5.73,1.8,,
