,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,New Orleans Saints,16.0,423.0,671.0,63.0,4997.0,43.0,6.4,19.0,2.8,80.0,7.7,7.7,12.3,312.3,96.4,26.0,190.0,3.7,7.2,7.2,1.0,2.0,102.68
1,2.0,Detroit Lions,16.0,445.0,740.0,60.1,4927.0,22.0,3.0,17.0,2.3,57.0,6.9,6.5,11.5,307.9,81.5,29.0,212.0,3.8,6.4,6.0,3.0,3.0,1.85
2,3.0,Dallas Cowboys,16.0,434.0,658.0,66.0,4729.0,29.0,4.4,19.0,2.9,85.0,7.6,7.2,11.5,295.6,91.3,36.0,263.0,5.2,6.8,6.4,5.0,5.0,61.5
3,4.0,New England Patriots,16.0,402.0,641.0,62.7,4662.0,34.0,5.3,9.0,1.4,83.0,7.6,8.0,12.0,291.4,97.7,27.0,182.0,4.0,7.0,7.4,1.0,2.0,190.9
4,5.0,Denver Broncos,16.0,402.0,588.0,68.4,4534.0,37.0,6.3,11.0,1.9,71.0,7.9,8.4,11.6,283.4,105.3,21.0,137.0,3.4,7.4,7.8,3.0,3.0,172.72
5,6.0,Atlanta Falcons,16.0,422.0,615.0,68.6,4509.0,32.0,5.2,14.0,2.3,80.0,7.7,7.7,11.2,281.8,99.1,28.0,210.0,4.4,7.0,7.0,4.0,6.0,117.46
6,7.0,Indianapolis Colts,16.0,339.0,628.0,54.0,4128.0,23.0,3.7,18.0,2.9,70.0,7.0,6.4,12.9,258.0,76.4,41.0,246.0,6.1,6.2,5.6,4.0,7.0,-10.93
7,8.0,Oakland Raiders,16.0,376.0,629.0,59.8,4084.0,24.0,3.8,16.0,2.5,64.0,6.8,6.4,11.4,255.3,82.4,27.0,208.0,4.1,6.2,5.9,2.0,2.0,-17.81
8,9.0,Green Bay Packers,16.0,374.0,558.0,67.0,4049.0,40.0,7.2,8.0,1.4,73.0,7.8,8.6,11.6,253.1,108.3,51.0,293.0,8.4,6.6,7.4,2.0,3.0,88.15
9,10.0,Tampa Bay Buccaneers,16.0,311.0,566.0,54.9,3983.0,27.0,4.8,17.0,3.0,95.0,7.3,6.9,13.3,248.9,81.8,26.0,161.0,4.4,6.7,6.3,1.0,1.0,2.82
10,11.0,Houston Texans,16.0,354.0,554.0,63.9,3830.0,22.0,4.0,13.0,2.3,60.0,7.3,7.0,11.4,239.4,89.2,28.0,216.0,4.8,6.6,6.3,2.0,2.0,65.61
11,12.0,New York Giants,16.0,323.0,539.0,59.9,3825.0,26.0,4.8,15.0,2.8,80.0,7.4,7.1,12.3,239.1,87.2,20.0,142.0,3.6,6.8,6.6,3.0,3.0,34.43
12,13.0,Philadelphia Eagles,16.0,367.0,618.0,59.4,3791.0,18.0,2.9,15.0,2.4,77.0,6.6,6.1,11.1,236.9,78.6,48.0,284.0,7.2,5.7,5.2,4.0,4.0,-88.31
13,14.0,Pittsburgh Steelers,16.0,354.0,574.0,61.7,3787.0,27.0,4.7,14.0,2.4,82.0,7.0,6.8,11.3,236.7,88.1,37.0,225.0,6.1,6.2,6.1,3.0,4.0,1.6
14,15.0,Baltimore Ravens,16.0,334.0,560.0,59.6,3739.0,22.0,3.9,11.0,2.0,61.0,7.1,7.0,12.0,233.7,86.4,38.0,257.0,6.4,6.3,6.2,3.0,3.0,84.85
15,16.0,Carolina Panthers,16.0,284.0,490.0,58.0,3683.0,19.0,3.9,12.0,2.4,82.0,8.0,7.7,13.8,230.2,86.5,36.0,244.0,6.8,7.0,6.7,1.0,1.0,50.12
16,17.0,Cincinnati Bengals,16.0,335.0,540.0,62.0,3578.0,28.0,5.2,16.0,3.0,73.0,7.1,6.8,11.4,223.6,88.1,46.0,229.0,7.8,6.1,5.8,2.0,4.0,-44.25
17,18.0,St. Louis Rams,16.0,332.0,557.0,59.6,3550.0,22.0,3.9,14.0,2.5,80.0,6.8,6.5,11.4,221.9,82.7,35.0,233.0,5.9,6.0,5.7,4.0,3.0,-53.35
