,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Indianapolis Colts,16.0,381.0,569.0,67.0,4179.0,29.0,5.1,10.0,1.8,79.0,7.5,7.8,11.3,261.2,99.0,19.0,110.0,3.2,7.1,7.3,3.0,4.0,99.28
1,2.0,Kansas City Chiefs,16.0,339.0,536.0,63.2,3981.0,24.0,4.5,12.0,2.2,67.0,7.7,7.6,12.1,248.8,92.4,21.0,132.0,3.8,7.1,7.0,1.0,2.0,55.42
2,3.0,St. Louis Rams,16.0,377.0,600.0,62.8,3961.0,23.0,3.8,23.0,3.8,48.0,7.1,6.2,11.4,247.6,81.0,43.0,326.0,6.7,6.2,5.3,4.0,4.0,-30.91
3,4.0,Minnesota Vikings,16.0,333.0,520.0,64.0,3951.0,32.0,6.2,13.0,2.5,72.0,8.0,8.1,12.5,246.9,99.0,42.0,218.0,7.5,7.0,7.1,0.0,1.0,34.22
4,5.0,Tennessee Titans,16.0,315.0,502.0,62.7,3878.0,30.0,6.0,9.0,1.8,73.0,8.0,8.4,12.8,242.4,100.3,25.0,153.0,4.7,7.4,7.7,2.0,2.0,55.85
5,6.0,Tampa Bay Buccaneers,16.0,369.0,592.0,62.3,3805.0,27.0,4.6,22.0,3.7,76.0,6.7,5.9,10.7,237.8,81.5,23.0,136.0,3.7,6.2,5.5,,,-86.72
6,7.0,Seattle Seahawks,16.0,317.0,521.0,60.8,3618.0,27.0,5.2,16.0,3.1,80.0,7.4,7.1,12.2,226.1,88.2,43.0,254.0,7.6,6.4,6.1,2.0,3.0,46.21
7,8.0,New Orleans Saints,16.0,314.0,535.0,58.7,3438.0,25.0,4.7,8.0,1.5,76.0,6.8,7.1,11.6,214.9,88.7,36.0,203.0,6.3,6.0,6.3,2.0,3.0,-28.75
8,9.0,New England Patriots,16.0,320.0,537.0,59.6,3432.0,23.0,4.3,13.0,2.4,82.0,6.8,6.6,11.4,214.5,84.3,32.0,219.0,5.6,6.0,5.8,3.0,5.0,18.84
9,10.0,San Francisco 49ers,16.0,299.0,511.0,58.5,3408.0,25.0,4.9,15.0,2.9,75.0,7.0,6.6,11.9,213.0,84.0,28.0,158.0,5.2,6.3,6.0,1.0,1.0,14.44
10,11.0,New York Giants,16.0,344.0,616.0,55.8,3383.0,16.0,2.6,20.0,3.2,77.0,5.9,5.0,10.6,211.4,68.4,44.0,259.0,6.7,5.1,4.2,1.0,3.0,-113.57
11,12.0,Cincinnati Bengals,16.0,324.0,520.0,62.3,3342.0,26.0,5.0,15.0,2.9,82.0,6.9,6.6,11.1,208.9,87.4,37.0,249.0,6.6,6.0,5.7,3.0,3.0,7.92
12,13.0,New York Jets,16.0,312.0,496.0,62.9,3316.0,20.0,4.0,14.0,2.8,65.0,7.1,6.6,11.3,207.3,85.8,31.0,208.0,5.9,6.3,5.9,3.0,3.0,-23.93
