,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Los Angeles Rams,11.0,153.0,326.0,46.9,2080.0,19.0,5.8,24.0,7.4,60.0,6.4,4.2,13.6,189.1,56.5,0.0,0.0,0,6.4,4.2,,
1,2.0,Chicago Cardinals,11.0,115.0,266.0,43.2,1951.0,17.0,6.4,20.0,7.5,82.0,7.3,5.2,17.0,177.4,58.6,0.0,0.0,0,7.3,5.2,0.0,0.0
2,3.0,Chicago Bears,11.0,120.0,253.0,47.4,1950.0,18.0,7.1,18.0,7.1,48.0,7.7,5.9,16.3,177.3,67.8,0.0,0.0,0,7.7,5.9,,
3,4.0,Detroit Lions,11.0,119.0,286.0,41.6,1674.0,11.0,3.8,33.0,11.5,88.0,5.9,1.4,14.1,152.2,34.4,0.0,0.0,0,5.9,1.4,,
4,5.0,Philadelphia Eagles,11.0,115.0,217.0,53.0,1641.0,14.0,6.5,20.0,9.2,59.0,7.6,4.7,14.3,149.2,60.9,0.0,0.0,0,7.6,4.7,0.0,0.0
5,6.0,Washington Redskins,11.0,112.0,221.0,50.7,1613.0,10.0,4.5,22.0,10.0,66.0,7.3,3.7,14.4,146.6,50.2,0.0,0.0,0,7.3,3.7,,
6,7.0,Boston Yanks,11.0,103.0,239.0,43.1,1566.0,15.0,6.3,19.0,7.9,62.0,6.6,4.2,15.2,142.4,53.1,0.0,0.0,0,6.6,4.2,,
7,8.0,New York Giants,11.0,100.0,194.0,51.5,1450.0,14.0,7.2,25.0,12.9,57.0,7.5,3.1,14.5,131.8,60.7,0.0,0.0,0,7.5,3.1,,
8,9.0,Pittsburgh Steelers,11.0,58.0,161.0,36.0,970.0,4.0,2.5,13.0,8.1,80.0,6.0,2.9,16.7,88.2,31.8,0.0,0.0,0,6.0,2.9,,
9,10.0,Green Bay Packers,11.0,54.0,178.0,30.3,841.0,4.0,2.2,18.0,10.1,65.0,4.7,0.6,15.6,76.5,15.0,0.0,0.0,0,4.7,0.6,0.0,0.0
10,,Avg Team,,104.9,234.1,44.8,1573.6,12.6,5.4,21.2,9.1,67.0,6.7,3.7,15.0,143.1,47.6,0.0,0.0,0,6.72,3.7,0.0,0.0
11,,League Total,,1049.0,2341.0,44.8,15736.0,126.0,5.4,212.0,9.1,88.0,6.7,3.7,15.0,143.1,47.6,0.0,0.0,0,6.72,3.7,0.0,0.0
12,,Avg Tm/G,,9.5,21.3,44.8,143.1,1.1,5.4,1.9,9.1,,6.7,3.7,15.0,143.1,47.6,0.0,0.0,0,6.72,3.7,,
