,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Green Bay Packers,11.0,95.0,216.0,44.0,1398.0,16.0,7.4,26.0,12.0,78.0,6.5,2.5,14.7,127.1,50.8,0.0,0.0,0,6.5,2.5,0.0,0.0
1,2.0,Washington Redskins,11.0,99.0,222.0,44.6,1316.0,11.0,5.0,20.0,9.0,59.0,5.9,2.9,13.3,119.6,42.9,0.0,0.0,0,5.9,2.9,,
2,3.0,Chicago Cardinals,11.0,77.0,189.0,40.7,1243.0,8.0,4.2,21.0,11.1,97.0,6.6,2.4,16.1,113.0,38.0,0.0,0.0,0,6.6,2.4,,
3,4.0,New York Giants,11.0,83.0,203.0,40.9,1024.0,10.0,4.9,11.0,5.4,38.0,5.0,3.6,12.3,93.1,51.0,0.0,0.0,0,5.0,3.6,0.0,0.0
4,5.0,Chicago Bears,11.0,56.0,147.0,38.1,1014.0,17.0,11.6,13.0,8.8,35.0,6.9,5.2,18.1,92.2,64.3,0.0,0.0,0,6.9,5.2,,
5,6.0,Brooklyn Dodgers,11.0,64.0,179.0,35.8,995.0,4.0,2.2,25.0,14.0,60.0,5.6,-0.3,15.5,90.5,22.9,0.0,0.0,0,5.6,-0.3,0.0,0.0
6,7.0,Pittsburgh Pirates,11.0,57.0,164.0,34.8,918.0,9.0,5.5,27.0,16.5,39.0,5.6,-0.7,16.1,83.5,33.1,0.0,0.0,0,5.6,-0.7,0.0,0.0
7,8.0,Philadelphia Eagles,11.0,63.0,207.0,30.4,849.0,8.0,3.9,24.0,11.6,86.0,4.1,-0.3,13.5,77.2,17.8,0.0,0.0,0,4.1,-0.3,,
8,9.0,Cleveland Rams,11.0,59.0,168.0,35.1,839.0,3.0,1.8,21.0,12.5,20.0,5.0,-0.3,14.2,76.3,18.5,0.0,0.0,0,5.0,-0.3,0.0,0.0
9,10.0,Detroit Lions,11.0,44.0,120.0,36.7,631.0,4.0,3.3,18.0,15.0,30.0,5.3,-0.8,14.3,57.4,26.1,0.0,0.0,0,5.3,-0.8,,
10,,Avg Team,,69.7,181.5,38.4,1022.7,9.0,5.0,20.6,11.3,54.0,5.6,1.5,14.7,93.0,34.5,0.0,0.0,0,5.63,1.5,0.0,0.0
11,,League Total,,697.0,1815.0,38.4,10227.0,90.0,5.0,206.0,11.3,97.0,5.6,1.5,14.7,93.0,34.5,0.0,0.0,0,5.63,1.5,0.0,0.0
12,,Avg Tm/G,,6.3,16.5,38.4,93.0,0.8,5.0,1.9,11.3,,5.6,1.5,14.7,93.0,34.5,0.0,0.0,0,5.63,1.5,,
