,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,New Orleans Saints,16.0,472.0,674.0,70.0,5074.0,38.0,5.6,15.0,2.2,98.0,7.8,7.9,11.1,317.1,102.5,27.0,184.0,3.9,7.2,7.4,2.0,4.0,116.53
1,2.0,Washington Redskins,16.0,407.0,607.0,67.1,4758.0,25.0,4.1,12.0,2.0,80.0,8.2,8.1,12.2,297.4,97.4,23.0,190.0,3.7,7.6,7.5,4.0,4.0,147.0
2,3.0,Atlanta Falcons,16.0,374.0,537.0,69.6,4725.0,38.0,7.1,7.0,1.3,76.0,9.2,10.1,13.3,295.3,116.8,37.0,235.0,6.4,8.2,9.0,1.0,2.0,243.07
3,4.0,New England Patriots,16.0,368.0,550.0,66.9,4308.0,32.0,5.8,2.0,0.4,79.0,8.1,9.1,12.1,269.3,109.5,24.0,148.0,4.2,7.5,8.5,2.0,2.0,231.01
4,5.0,Indianapolis Colts,16.0,370.0,584.0,63.4,4202.0,32.0,5.5,15.0,2.6,64.0,7.7,7.6,12.1,262.6,94.5,44.0,289.0,7.0,6.7,6.6,4.0,4.0,102.28
5,6.0,Pittsburgh Steelers,16.0,381.0,596.0,63.9,4202.0,33.0,5.5,15.0,2.5,72.0,7.3,7.3,11.5,262.6,93.9,21.0,175.0,3.4,6.8,6.8,3.0,3.0,71.45
6,7.0,Green Bay Packers,16.0,403.0,620.0,65.0,4199.0,40.0,6.5,8.0,1.3,60.0,7.2,7.9,11.0,262.4,102.3,35.0,246.0,5.3,6.4,7.1,0.0,2.0,179.05
7,8.0,San Diego Chargers,16.0,349.0,580.0,60.2,4198.0,33.0,5.7,21.0,3.6,59.0,7.6,7.1,12.6,262.4,87.6,36.0,188.0,5.8,6.8,6.4,1.0,1.0,62.52
8,9.0,Arizona Cardinals,16.0,383.0,646.0,59.3,4136.0,28.0,4.3,17.0,2.6,80.0,6.8,6.5,11.6,258.5,83.5,41.0,289.0,6.0,6.0,5.7,1.0,3.0,21.2
9,10.0,Seattle Seahawks,16.0,368.0,567.0,64.9,4124.0,23.0,4.1,12.0,2.1,59.0,7.8,7.7,12.0,257.8,93.4,42.0,298.0,6.9,6.8,6.6,4.0,3.0,61.78
10,11.0,Detroit Lions,16.0,388.0,594.0,65.3,4111.0,24.0,4.0,10.0,1.7,73.0,7.3,7.3,11.2,256.9,93.3,37.0,216.0,5.9,6.5,6.6,8.0,8.0,76.12
11,12.0,Baltimore Ravens,16.0,439.0,679.0,64.7,4100.0,20.0,2.9,16.0,2.4,95.0,6.4,5.9,9.9,256.3,82.6,33.0,243.0,4.6,5.8,5.3,2.0,2.0,-50.35
12,13.0,Oakland Raiders,16.0,379.0,596.0,63.6,4051.0,29.0,4.9,7.0,1.2,75.0,6.9,7.4,10.9,253.2,95.3,18.0,86.0,2.9,6.6,7.0,7.0,7.0,63.9
13,14.0,Chicago Bears,16.0,347.0,559.0,62.1,3969.0,19.0,3.4,19.0,3.4,64.0,7.4,6.6,11.9,248.1,81.8,28.0,170.0,4.8,6.8,6.0,,,-14.33
14,15.0,Cincinnati Bengals,16.0,364.0,563.0,64.7,3942.0,18.0,3.2,8.0,1.4,86.0,7.5,7.5,11.6,246.4,91.8,41.0,264.0,6.8,6.5,6.5,2.0,1.0,72.64
15,16.0,Tampa Bay Buccaneers,16.0,355.0,578.0,61.4,3926.0,29.0,5.0,18.0,3.1,45.0,7.2,6.8,11.7,245.4,87.0,35.0,239.0,5.7,6.4,6.0,1.0,3.0,78.88
16,17.0,New York Giants,16.0,377.0,598.0,63.0,3879.0,26.0,4.3,16.0,2.7,75.0,6.7,6.4,10.7,242.4,86.0,22.0,148.0,3.5,6.3,5.9,3.0,6.0,0.05
17,18.0,Minnesota Vikings,16.0,414.0,588.0,70.4,3836.0,20.0,3.4,5.0,0.9,71.0,7.0,7.3,9.9,239.8,97.7,38.0,283.0,6.1,6.1,6.4,1.0,1.0,49.94
18,19.0,Kansas City Chiefs,16.0,365.0,546.0,66.8,3740.0,19.0,3.5,8.0,1.5,80.0,7.2,7.2,10.7,233.8,93.2,32.0,174.0,5.5,6.5,6.5,3.0,3.0,34.94
19,20.0,Jacksonville Jaguars,16.0,369.0,626.0,58.9,3728.0,24.0,3.8,16.0,2.6,51.0,6.3,5.9,10.6,233.0,79.5,34.0,197.0,5.2,5.6,5.3,1.0,1.0,12.29
20,21.0,Denver Broncos,16.0,339.0,570.0,59.5,3685.0,20.0,3.5,11.0,1.9,76.0,6.9,6.7,11.5,230.3,83.9,40.0,229.0,6.6,6.0,5.9,3.0,2.0,-9.53
21,22.0,Carolina Panthers,16.0,306.0,563.0,54.4,3685.0,21.0,3.7,19.0,3.4,88.0,7.0,6.3,12.9,230.3,75.1,36.0,277.0,6.0,6.2,5.4,,,-12.06
22,23.0,Dallas Cowboys,16.0,325.0,483.0,67.3,3631.0,25.0,5.2,6.0,1.2,83.0,7.9,8.3,11.7,226.9,103.0,28.0,168.0,5.5,7.1,7.6,5.0,5.0,103.88
23,24.0,Philadelphia Eagles,16.0,380.0,609.0,62.4,3585.0,16.0,2.6,14.0,2.3,73.0,6.2,5.7,10.0,224.1,79.2,33.0,213.0,5.1,5.6,5.1,1.0,1.0,15.12
24,25.0,Tennessee Titans,16.0,307.0,504.0,60.9,3541.0,29.0,5.8,11.0,2.2,60.0,7.4,7.5,12.1,221.3,93.7,28.0,179.0,5.3,6.7,6.8,2.0,2.0,42.9
25,26.0,Miami Dolphins,16.0,316.0,477.0,66.2,3500.0,27.0,5.7,15.0,3.1,74.0,7.8,7.5,11.8,218.8,95.5,30.0,216.0,5.9,6.9,6.6,4.0,5.0,17.75
26,27.0,New York Jets,16.0,311.0,550.0,56.5,3466.0,16.0,2.9,25.0,4.5,69.0,6.6,5.2,11.7,216.6,67.6,35.0,179.0,6.0,5.9,4.5,1.0,1.0,-61.88
27,28.0,Cleveland Browns,16.0,338.0,567.0,59.6,3264.0,15.0,2.6,14.0,2.5,58.0,6.5,5.9,10.9,204.0,77.4,66.0,429.0,10.4,5.2,4.6,,,-9.7
28,29.0,Houston Texans,16.0,347.0,583.0,59.5,3176.0,15.0,2.6,16.0,2.7,53.0,5.9,5.1,9.9,198.5,73.3,32.0,242.0,5.2,5.2,4.5,4.0,4.0,-28.35
29,30.0,Buffalo Bills,16.0,286.0,474.0,60.3,3036.0,17.0,3.6,7.0,1.5,84.0,6.9,6.9,11.4,189.8,86.7,46.0,214.0,8.8,5.8,5.9,1.0,1.0,36.85
30,31.0,Los Angeles Rams,16.0,312.0,536.0,58.2,2951.0,14.0,2.6,20.0,3.7,66.0,6.2,5.0,10.6,184.4,69.5,49.0,362.0,8.4,5.0,4.0,1.0,2.0,-123.49
31,32.0,San Francisco 49ers,16.0,287.0,491.0,58.5,2911.0,21.0,4.3,10.0,2.0,75.0,6.4,6.4,11.0,181.9,83.4,47.0,255.0,8.7,5.4,5.4,1.0,1.0,-37.65
32,,Avg Team,,360.2,571.7,63.0,3863.7,24.6,4.3,13.0,2.3,72.0,7.2,7.0,11.4,241.5,89.3,34.9,225.8,5.8,6.37,6.2,2.3,2.6,46.7
33,,League Total,,11526.0,18295.0,63.0,123639.0,786.0,4.3,415.0,2.3,98.0,7.2,7.0,11.4,241.5,89.3,1118.0,7225.0,5.8,6.37,6.2,73.0,84.0,
34,,Avg Tm/G,,22.5,35.7,63.0,241.5,1.5,4.3,0.8,2.3,,7.2,7.0,11.4,241.5,89.3,2.2,14.1,5.8,6.37,6.2,,,
