,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Houston Texans,16.0,399.0,593.0,67.3,4654.0,29.0,4.9,17.0,2.9,72.0,8.1,7.8,12.0,290.9,96.3,25.0,149.0,4.0,7.5,7.2,2.0,4.0,89.38
1,2.0,Indianapolis Colts,16.0,402.0,601.0,66.9,4515.0,34.0,5.7,19.0,3.2,80.0,7.7,7.4,11.5,282.2,95.4,13.0,90.0,2.1,7.4,7.1,7.0,7.0,164.84
2,3.0,New England Patriots,16.0,390.0,592.0,65.9,4436.0,28.0,4.7,13.0,2.2,81.0,7.7,7.6,11.6,277.3,95.6,18.0,104.0,3.0,7.3,7.2,1.0,1.0,76.95
3,4.0,New Orleans Saints,16.0,378.0,544.0,69.5,4355.0,34.0,6.3,12.0,2.2,75.0,8.3,8.5,11.9,272.2,106.0,20.0,135.0,3.5,7.7,8.0,2.0,4.0,137.36
4,5.0,San Diego Chargers,16.0,338.0,519.0,65.1,4338.0,29.0,5.6,10.0,1.9,81.0,8.7,8.9,13.3,271.1,103.1,26.0,168.0,4.8,8.0,8.2,3.0,5.0,110.33
5,6.0,Dallas Cowboys,16.0,347.0,550.0,63.1,4287.0,26.0,4.7,9.0,1.6,80.0,8.2,8.4,12.9,267.9,97.6,34.0,196.0,5.8,7.3,7.5,3.0,3.0,34.16
6,7.0,Green Bay Packers,16.0,357.0,553.0,64.6,4180.0,30.0,5.4,8.0,1.4,83.0,8.1,8.6,12.6,261.3,101.8,51.0,312.0,8.4,6.9,7.3,2.0,2.0,77.06
7,8.0,Minnesota Vikings,16.0,377.0,553.0,68.2,4156.0,34.0,6.1,7.0,1.3,63.0,8.0,8.6,11.7,259.8,107.3,34.0,247.0,5.8,7.1,7.7,2.0,2.0,160.28
8,9.0,Pittsburgh Steelers,16.0,351.0,536.0,65.5,4148.0,28.0,5.2,14.0,2.6,60.0,8.4,8.3,12.8,259.3,98.1,50.0,348.0,8.5,7.1,7.0,2.0,3.0,33.64
9,10.0,Philadelphia Eagles,16.0,335.0,553.0,60.6,4089.0,27.0,4.9,13.0,2.4,71.0,7.9,7.8,13.1,255.6,92.0,38.0,291.0,6.4,6.9,6.8,2.0,3.0,-0.58
10,11.0,New York Giants,16.0,338.0,542.0,62.4,4019.0,28.0,5.2,14.0,2.6,74.0,7.8,7.7,12.6,251.2,93.2,32.0,227.0,5.6,7.0,6.9,1.0,2.0,61.56
