,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Kansas City Chiefs,16.0,420.0,630.0,66.7,4854.0,40.0,6.3,7.0,1.1,75.0,7.9,8.7,11.9,303.4,107.3,24.0,151.0,3.7,7.4,8.2,3.0,3.0,255.89
1,2.0,Tampa Bay Buccaneers,16.0,410.0,626.0,65.5,4626.0,42.0,6.7,12.0,1.9,50.0,7.6,8.1,11.6,289.1,102.8,22.0,150.0,3.4,7.1,7.6,3.0,3.0,269.68
2,3.0,Buffalo Bills,16.0,410.0,596.0,68.8,4620.0,40.0,6.7,11.0,1.8,56.0,8.0,8.5,11.7,288.8,107.6,27.0,166.0,4.3,7.4,7.9,2.0,3.0,239.8
3,4.0,Houston Texans,16.0,383.0,546.0,70.1,4538.0,33.0,6.0,7.0,1.3,77.0,8.9,9.5,12.6,283.6,112.3,50.0,305.0,8.4,7.6,8.2,,,167.25
4,5.0,Atlanta Falcons,16.0,408.0,628.0,65.0,4363.0,27.0,4.3,11.0,1.8,63.0,7.4,7.4,11.3,272.7,93.9,41.0,257.0,6.1,6.5,6.6,,,155.83
5,6.0,Los Angeles Chargers,16.0,413.0,627.0,65.9,4329.0,31.0,4.9,10.0,1.6,72.0,7.3,7.5,11.0,270.6,97.0,34.0,219.0,5.1,6.5,6.8,2.0,4.0,155.91
6,7.0,Las Vegas Raiders,16.0,369.0,551.0,67.0,4217.0,28.0,5.1,10.0,1.8,85.0,8.0,8.2,11.9,263.6,100.4,28.0,166.0,4.8,7.3,7.5,3.0,5.0,133.3
7,8.0,Dallas Cowboys,16.0,413.0,639.0,64.6,4161.0,25.0,3.9,13.0,2.0,69.0,7.1,6.9,10.9,260.1,89.9,44.0,350.0,6.4,6.1,6.0,3.0,4.0,48.16
8,9.0,Green Bay Packers,16.0,372.0,526.0,70.7,4106.0,48.0,9.1,5.0,1.0,78.0,8.2,9.6,11.6,256.6,121.5,21.0,193.0,3.8,7.5,8.9,1.0,2.0,256.47
9,10.0,Detroit Lions,16.0,374.0,582.0,64.3,4104.0,27.0,4.6,13.0,2.2,73.0,7.6,7.5,11.8,256.5,93.3,42.0,293.0,6.7,6.6,6.5,3.0,4.0,117.49
10,11.0,Indianapolis Colts,16.0,371.0,552.0,67.2,4053.0,24.0,4.3,11.0,2.0,55.0,7.6,7.6,11.3,253.3,95.9,21.0,133.0,3.7,7.1,7.0,2.0,3.0,166.22
11,12.0,San Francisco 49ers,16.0,371.0,570.0,65.1,4033.0,25.0,4.4,17.0,3.0,76.0,7.6,7.1,11.6,252.1,90.1,39.0,287.0,6.4,6.6,6.2,1.0,1.0,86.06
12,13.0,Los Angeles Rams,16.0,392.0,590.0,66.4,4014.0,20.0,3.4,14.0,2.4,56.0,7.1,6.7,10.7,250.9,88.4,25.0,169.0,4.1,6.5,6.2,0.0,1.0,71.12
13,14.0,Minnesota Vikings,16.0,349.0,516.0,67.6,4009.0,35.0,6.8,13.0,2.5,71.0,8.3,8.5,12.2,250.6,105.0,39.0,256.0,7.0,7.2,7.4,1.0,3.0,140.98
14,15.0,Pittsburgh Steelers,16.0,428.0,656.0,65.2,4003.0,35.0,5.3,11.0,1.7,84.0,6.3,6.6,9.6,250.2,93.5,14.0,126.0,2.1,6.0,6.3,4.0,4.0,138.47
15,16.0,Seattle Seahawks,16.0,388.0,563.0,68.9,3941.0,40.0,7.1,13.0,2.3,62.0,7.5,7.9,10.9,246.3,105.0,48.0,304.0,7.9,6.5,6.8,3.0,3.0,117.25
16,17.0,Arizona Cardinals,16.0,387.0,575.0,67.3,3916.0,27.0,4.7,13.0,2.3,80.0,7.1,7.1,10.6,244.8,94.1,29.0,186.0,4.8,6.5,6.4,3.0,4.0,74.08
17,18.0,Carolina Panthers,16.0,373.0,550.0,67.8,3888.0,16.0,2.9,16.0,2.9,75.0,7.5,6.8,11.1,243.0,87.5,36.0,241.0,6.1,6.6,6.0,,,60.94
18,19.0,New Orleans Saints,16.0,370.0,522.0,70.9,3758.0,28.0,5.4,8.0,1.5,52.0,7.6,7.9,10.7,234.9,104.1,29.0,187.0,5.3,6.8,7.2,1.0,3.0,124.81
19,20.0,Miami Dolphins,16.0,370.0,559.0,66.2,3736.0,24.0,4.3,13.0,2.3,70.0,7.0,6.9,10.6,233.5,91.2,34.0,201.0,5.7,6.3,6.1,3.0,3.0,89.14
20,21.0,Jacksonville Jaguars,16.0,387.0,616.0,62.8,3699.0,25.0,4.1,16.0,2.6,73.0,6.4,6.1,10.2,231.2,83.9,44.0,256.0,6.7,5.6,5.3,1.0,1.0,3.97
21,22.0,Chicago Bears,16.0,402.0,614.0,65.5,3655.0,26.0,4.2,16.0,2.6,53.0,6.4,6.1,9.8,228.4,86.5,36.0,270.0,5.5,5.6,5.3,3.0,3.0,37.48
22,23.0,Tennessee Titans,16.0,316.0,485.0,65.2,3653.0,33.0,6.8,7.0,1.4,75.0,7.9,8.6,12.1,228.3,105.9,25.0,173.0,4.9,7.2,7.8,5.0,6.0,191.17
23,24.0,Cleveland Browns,16.0,315.0,501.0,62.9,3539.0,27.0,5.4,8.0,1.6,75.0,7.4,7.7,11.7,221.2,96.6,26.0,162.0,4.9,6.7,7.1,2.0,2.0,130.48
24,25.0,Washington Football Team,16.0,389.0,601.0,64.7,3465.0,16.0,2.7,16.0,2.7,68.0,6.3,5.7,9.8,216.6,80.1,50.0,331.0,7.7,5.3,4.7,2.0,2.0,-22.49
25,26.0,Denver Broncos,16.0,317.0,556.0,57.0,3451.0,21.0,3.8,23.0,4.1,92.0,6.6,5.5,11.6,215.7,72.5,32.0,222.0,5.4,5.9,4.8,2.0,2.0,3.23
26,27.0,Cincinnati Bengals,16.0,372.0,581.0,64.0,3448.0,19.0,3.3,11.0,1.9,72.0,6.5,6.3,10.2,215.5,85.7,48.0,345.0,7.6,5.5,5.3,1.0,1.0,28.77
27,28.0,Philadelphia Eagles,16.0,334.0,598.0,55.9,3327.0,22.0,3.7,20.0,3.3,81.0,6.2,5.5,11.2,207.9,72.9,65.0,401.0,9.8,5.0,4.3,3.0,2.0,-18.65
28,29.0,New York Giants,16.0,321.0,517.0,62.1,3026.0,12.0,2.3,11.0,2.1,53.0,6.5,6.0,10.4,189.1,79.6,50.0,310.0,8.8,5.3,4.9,0.0,0.0,-11.8
29,30.0,New England Patriots,16.0,283.0,440.0,64.3,2890.0,12.0,2.7,14.0,3.2,50.0,7.1,6.2,11.0,180.6,81.1,37.0,234.0,7.8,6.1,5.2,1.0,3.0,4.99
30,31.0,New York Jets,16.0,292.0,499.0,58.5,2796.0,16.0,3.2,14.0,2.8,69.0,6.2,5.6,10.7,174.8,75.9,43.0,319.0,7.9,5.2,4.6,,,-43.13
