,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,New Orleans Saints,16.0,413.0,636.0,64.9,4977.0,34.0,5.3,18.0,2.8,84.0,8.0,7.8,12.3,311.1,95.4,13.0,92.0,2.0,7.7,7.5,2.0,2.0,105.43
1,2.0,Arizona Cardinals,16.0,418.0,630.0,66.3,4674.0,31.0,4.9,15.0,2.4,79.0,7.7,7.7,11.7,292.1,96.1,28.0,201.0,4.3,7.1,7.0,1.0,1.0,93.52
2,3.0,Denver Broncos,16.0,386.0,620.0,62.3,4471.0,25.0,4.0,18.0,2.9,93.0,7.3,6.8,11.8,279.4,85.9,12.0,74.0,1.9,7.1,6.6,3.0,4.0,70.84
3,4.0,Houston Texans,16.0,367.0,555.0,66.1,4267.0,21.0,3.8,20.0,3.6,65.0,8.1,7.2,12.2,266.7,88.4,32.0,207.0,5.5,7.3,6.5,2.0,2.0,-21.81
4,5.0,Indianapolis Colts,16.0,393.0,585.0,67.2,4094.0,27.0,4.6,12.0,2.1,75.0,7.1,7.1,10.6,255.9,94.7,14.0,86.0,2.3,6.8,6.8,4.0,6.0,101.97
5,6.0,Philadelphia Eagles,16.0,362.0,606.0,59.7,3911.0,23.0,3.8,16.0,2.6,90.0,6.7,6.3,11.2,244.4,81.4,23.0,149.0,3.7,6.2,5.8,2.0,1.0,-2.37
6,7.0,San Diego Chargers,16.0,312.0,478.0,65.3,3858.0,34.0,7.1,11.0,2.3,67.0,8.4,8.8,12.8,241.1,105.5,25.0,151.0,5.0,7.7,8.0,3.0,4.0,77.21
7,8.0,Green Bay Packers,16.0,343.0,541.0,63.4,3813.0,28.0,5.2,13.0,2.4,71.0,7.5,7.4,11.8,238.3,93.3,34.0,231.0,5.9,6.6,6.6,1.0,2.0,35.57
8,9.0,Dallas Cowboys,16.0,328.0,547.0,60.0,3789.0,29.0,5.3,20.0,3.7,75.0,7.3,6.7,12.2,236.8,84.9,31.0,199.0,5.4,6.6,6.0,2.0,2.0,-26.73
9,10.0,Miami Dolphins,16.0,330.0,491.0,67.2,3632.0,20.0,4.1,7.0,1.4,80.0,7.7,7.8,11.4,227.0,97.6,26.0,129.0,5.0,7.0,7.2,1.0,2.0,30.72
