,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Los Angeles Chargers,16.0,366.0,583.0,62.8,4431.0,28.0,4.8,11.0,1.9,75.0,7.8,7.9,12.4,276.9,95.1,18.0,120.0,3.0,7.4,7.5,2.0,2.0,85.54
1,2.0,New England Patriots,16.0,389.0,587.0,66.3,4418.0,32.0,5.5,8.0,1.4,64.0,7.9,8.3,11.9,276.1,102.6,35.0,201.0,5.6,7.1,7.6,2.0,2.0,197.94
2,3.0,Pittsburgh Steelers,16.0,384.0,590.0,65.1,4380.0,29.0,4.9,15.0,2.5,97.0,7.7,7.5,11.8,273.8,94.1,24.0,154.0,3.9,7.1,7.0,3.0,4.0,84.45
3,4.0,Tampa Bay Buccaneers,16.0,378.0,605.0,62.5,4366.0,26.0,4.3,14.0,2.3,70.0,7.6,7.4,12.2,272.9,90.6,40.0,241.0,6.2,6.8,6.6,2.0,3.0,41.13
4,5.0,New Orleans Saints,16.0,386.0,536.0,72.0,4189.0,23.0,4.3,8.0,1.5,54.0,8.1,8.3,11.2,261.8,103.9,20.0,145.0,3.6,7.5,7.7,2.0,2.0,78.77
5,6.0,Detroit Lions,16.0,374.0,570.0,65.6,4183.0,29.0,5.1,11.0,1.9,71.0,7.8,8.0,12.0,261.4,98.4,47.0,287.0,7.6,6.8,6.9,1.0,4.0,18.05
6,7.0,Kansas City Chiefs,16.0,363.0,543.0,66.9,4104.0,26.0,4.8,8.0,1.5,79.0,8.0,8.3,11.9,256.5,100.8,37.0,222.0,6.4,7.1,7.4,1.0,4.0,35.89
7,8.0,Atlanta Falcons,16.0,343.0,530.0,64.7,3990.0,21.0,4.0,12.0,2.3,88.0,7.8,7.6,12.1,249.4,92.4,24.0,156.0,4.3,7.2,7.0,2.0,3.0,56.35
8,9.0,San Francisco 49ers,16.0,362.0,607.0,59.6,3925.0,15.0,2.5,15.0,2.5,83.0,7.0,6.4,11.7,245.3,78.8,43.0,310.0,6.6,6.0,5.5,2.0,2.0,-67.29
9,10.0,Los Angeles Rams,16.0,320.0,518.0,61.8,3831.0,28.0,5.4,7.0,1.4,94.0,7.8,8.2,12.6,239.4,98.3,28.0,192.0,5.1,7.0,7.5,1.0,1.0,44.57
10,11.0,Minnesota Vikings,16.0,357.0,527.0,67.7,3753.0,25.0,4.7,8.0,1.5,65.0,7.5,7.7,11.0,234.6,99.1,27.0,176.0,4.9,6.8,7.0,1.0,3.0,85.46
