,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Washington Redskins,12.0,231.0,416.0,55.5,3336.0,28.0,6.7,18.0,4.3,74.0,8.0,7.4,14.4,278.0,86.2,0.0,0.0,0,8.0,7.4,0.0,0.0
1,2.0,Chicago Bears,12.0,194.0,378.0,51.3,3093.0,29.0,7.7,35.0,9.3,81.0,8.2,5.6,15.9,257.8,65.9,0.0,0.0,0,8.2,5.6,0.0,0.0
2,3.0,Chicago Cardinals,12.0,160.0,340.0,47.1,2580.0,18.0,5.3,25.0,7.4,80.0,7.6,5.3,16.1,215.0,59.9,0.0,0.0,0,7.6,5.3,,
3,4.0,Detroit Lions,12.0,167.0,348.0,48.0,2446.0,23.0,6.6,34.0,9.8,79.0,7.0,4.0,14.6,203.8,53.8,0.0,0.0,0,7.0,4.0,0.0,0.0
4,5.0,New York Giants,12.0,123.0,293.0,42.0,1999.0,17.0,5.8,26.0,8.9,88.0,6.8,4.0,16.3,166.6,47.9,0.0,0.0,0,6.8,4.0,,
5,6.0,Philadelphia Eagles,12.0,116.0,223.0,52.0,1761.0,18.0,8.1,19.0,8.5,69.0,7.9,5.7,15.2,146.8,69.7,0.0,0.0,0,7.9,5.7,,
6,7.0,Green Bay Packers,12.0,112.0,253.0,44.3,1724.0,17.0,6.7,19.0,7.5,69.0,6.8,4.8,15.4,143.7,58.5,0.0,0.0,0,6.8,4.8,,
7,8.0,Boston Yanks,12.0,95.0,238.0,39.9,1661.0,15.0,6.3,27.0,11.3,78.0,7.0,3.1,17.5,138.4,45.9,0.0,0.0,0,7.0,3.1,,
8,9.0,Los Angeles Rams,12.0,123.0,293.0,42.0,1660.0,13.0,4.4,28.0,9.6,64.0,5.7,2.3,13.5,138.3,35.9,0.0,0.0,0,5.7,2.3,,
9,10.0,Pittsburgh Steelers,12.0,85.0,209.0,40.7,1410.0,10.0,4.8,19.0,9.1,68.0,6.7,3.6,16.6,117.5,42.2,0.0,0.0,0,6.7,3.6,,
10,,Avg Team,,140.6,299.1,47.0,2167.0,18.8,6.3,25.0,8.4,75.0,7.2,4.7,15.4,180.6,57.6,0.0,0.0,0,7.25,4.7,0.0,0.0
11,,League Total,,1406.0,2991.0,47.0,21670.0,188.0,6.3,250.0,8.4,88.0,7.2,4.7,15.4,180.6,57.6,0.0,0.0,0,7.25,4.7,0.0,0.0
12,,Avg Tm/G,,11.7,24.9,47.0,180.6,1.6,6.3,2.1,8.4,,7.2,4.7,15.4,180.6,57.6,0.0,0.0,0,7.25,4.7,,
