,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Philadelphia Eagles,12.0,198.0,400.0,49.5,2472.0,19.0,4.8,24.0,6.0,63.0,6.7,5.0,13.6,206.0,62.2,28.0,224.0,6.5,5.8,4.1,2.0,2.0
1,2.0,Detroit Lions,12.0,204.0,400.0,51.0,2410.0,15.0,3.8,22.0,5.5,77.0,6.4,4.6,12.5,200.8,60.6,17.0,132.0,4.1,5.8,4.1,1.0,2.0
2,3.0,Pittsburgh Steelers,12.0,189.0,390.0,48.5,2387.0,12.0,3.1,30.0,7.7,62.0,6.5,3.7,13.5,198.9,47.9,20.0,163.0,4.9,5.8,3.1,1.0,2.0
3,4.0,Los Angeles Rams,12.0,175.0,344.0,50.9,2061.0,9.0,2.6,18.0,5.2,74.0,6.4,4.6,12.6,171.8,58.1,18.0,145.0,5.0,5.7,4.0,4.0,3.0
4,5.0,Cleveland Browns,12.0,130.0,234.0,55.6,1950.0,21.0,9.0,11.0,4.7,61.0,9.5,9.2,17.1,162.5,98.3,34.0,275.0,12.7,7.3,7.0,4.0,3.0
5,6.0,San Francisco 49ers,12.0,151.0,303.0,49.8,1938.0,17.0,5.6,28.0,9.2,78.0,7.3,4.3,14.7,161.5,54.4,36.0,287.0,10.6,5.7,3.0,1.0,1.0
6,7.0,Chicago Bears,12.0,145.0,306.0,47.4,1928.0,17.0,5.6,23.0,7.5,86.0,6.9,4.6,14.5,160.7,57.5,23.0,180.0,7.0,5.9,3.7,1.0,1.0
7,8.0,Green Bay Packers,12.0,159.0,348.0,45.7,1779.0,17.0,4.9,19.0,5.5,60.0,5.8,4.3,12.6,148.3,57.7,28.0,225.0,7.4,4.7,3.4,3.0,3.0
8,9.0,New York Giants,12.0,137.0,292.0,46.9,1760.0,17.0,5.8,15.0,5.1,71.0,6.4,5.2,13.6,146.7,65.8,13.0,105.0,4.3,5.8,4.7,1.0,1.0
9,10.0,Baltimore Colts,12.0,134.0,266.0,50.4,1631.0,11.0,4.1,22.0,8.3,82.0,6.7,3.9,13.4,135.9,51.5,21.0,164.0,7.3,5.7,3.0,0.0,0.0
10,11.0,Washington Redskins,12.0,101.0,257.0,39.3,1348.0,11.0,4.3,21.0,8.2,70.0,6.0,3.2,15.3,112.3,40.2,25.0,201.0,8.9,4.8,2.2,2.0,2.0
11,12.0,Chicago Cardinals,12.0,106.0,280.0,37.9,1345.0,14.0,5.0,25.0,8.9,98.0,5.4,2.4,14.3,112.1,35.7,22.0,175.0,7.3,4.5,1.7,1.0,0.0
12,,Avg Team,,152.4,318.3,47.9,1917.4,15.0,4.7,21.5,6.8,74.0,6.6,4.5,13.8,159.8,57.1,23.8,189.7,6.9,5.61,3.7,1.8,1.7
13,,League Total,,1829.0,3820.0,47.9,23009.0,180.0,4.7,258.0,6.8,98.0,6.6,4.5,13.8,159.8,57.1,285.0,2276.0,6.9,5.61,3.7,21.0,20.0
14,,Avg Tm/G,,12.7,26.5,47.9,159.8,1.3,4.7,1.8,6.8,,6.6,4.5,13.8,159.8,57.1,2.0,15.8,6.9,5.61,3.7,,
