,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Dallas Cowboys,14.0,214.0,413.0,51.8,3023.0,27.0,6.5,14.0,3.4,95.0,8.1,7.8,15.6,215.9,86.5,42.0,308.0,9.2,6.6,6.4,3.0,3.0
1,2.0,Washington Redskins,14.0,255.0,443.0,57.6,3014.0,28.0,6.3,20.0,4.5,86.0,7.3,6.5,12.7,215.3,82.7,27.0,216.0,5.7,6.4,5.7,2.0,3.0
2,3.0,San Francisco 49ers,14.0,261.0,500.0,52.2,2992.0,21.0,4.2,26.0,5.2,65.0,6.5,5.0,12.4,213.7,64.9,30.0,247.0,5.7,5.6,4.2,2.0,1.0
3,4.0,Baltimore Colts,14.0,221.0,401.0,55.1,2930.0,26.0,6.5,27.0,6.7,89.0,7.9,6.2,14.4,209.3,74.5,30.0,242.0,7.0,6.8,5.2,1.0,1.0
4,5.0,Cleveland Browns,14.0,212.0,402.0,52.7,2905.0,33.0,8.2,15.0,3.7,54.0,7.8,7.8,14.8,207.5,90.4,29.0,237.0,6.7,6.7,6.7,1.0,1.0
5,6.0,Green Bay Packers,14.0,193.0,318.0,60.7,2602.0,18.0,5.7,5.0,1.6,83.0,8.9,9.3,14.7,185.9,102.1,31.0,229.0,8.9,7.5,7.8,2.0,2.0
6,7.0,Minnesota Vikings,14.0,216.0,417.0,51.8,2548.0,18.0,4.3,22.0,5.3,68.0,7.0,5.5,13.6,182.0,67.0,45.0,384.0,9.7,5.5,4.2,2.0,1.0
7,8.0,Los Angeles Rams,14.0,249.0,450.0,55.3,2540.0,12.0,2.7,17.0,3.8,84.0,6.4,5.3,11.6,181.4,68.1,54.0,351.0,10.7,5.0,4.0,,
8,9.0,New York Giants,14.0,208.0,424.0,49.1,2475.0,20.0,4.7,31.0,7.3,98.0,7.1,4.7,14.4,176.8,57.7,62.0,524.0,12.8,5.1,3.0,1.0,1.0
9,10.0,Detroit Lions,14.0,239.0,456.0,52.4,2424.0,8.0,1.8,28.0,6.1,99.0,6.0,3.6,11.5,173.1,51.2,35.0,328.0,7.1,4.9,2.7,1.0,0.0
10,11.0,Pittsburgh Steelers,14.0,188.0,401.0,46.9,2354.0,18.0,4.5,22.0,5.5,84.0,7.2,5.6,15.3,168.1,63.1,66.0,523.0,14.1,5.0,3.7,1.0,1.0
11,12.0,Atlanta Falcons,14.0,175.0,381.0,45.9,2017.0,14.0,3.7,27.0,7.1,62.0,6.2,3.7,13.5,144.1,48.9,38.0,345.0,9.1,4.8,2.6,,
12,13.0,St. Louis Cardinals,14.0,180.0,386.0,46.6,1940.0,13.0,3.4,19.0,4.9,69.0,5.9,4.4,12.7,138.6,56.4,38.0,352.0,9.0,4.6,3.2,4.0,4.0
13,14.0,Philadelphia Eagles,14.0,179.0,378.0,47.4,1900.0,14.0,3.7,22.0,5.8,48.0,5.7,3.8,12.1,135.7,53.4,35.0,259.0,8.5,4.6,2.9,2.0,3.0
14,15.0,Chicago Bears,14.0,159.0,338.0,47.0,1772.0,10.0,3.0,23.0,6.8,80.0,6.0,3.5,12.7,126.6,47.6,29.0,244.0,7.9,4.8,2.6,2.0,1.0
15,,Avg Team,,209.9,407.2,51.6,2495.7,18.7,4.6,21.2,5.2,78.0,6.9,5.5,13.4,178.3,67.4,39.4,319.3,8.8,5.59,4.3,1.6,1.5
16,,League Total,,3149.0,6108.0,51.6,37436.0,280.0,4.6,318.0,5.2,99.0,6.9,5.5,13.4,178.3,67.4,591.0,4789.0,8.8,5.59,4.3,24.0,22.0
17,,Avg Tm/G,,15.0,29.1,51.6,178.3,1.3,4.6,1.5,5.2,,6.9,5.5,13.4,178.3,67.4,2.8,22.8,8.8,5.59,4.3,,
