,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Los Angeles Rams,12.0,253.0,453.0,55.8,3529.0,31.0,6.8,27.0,6.0,72.0,8.2,6.9,14.7,294.1,80.7,23.0,180.0,4.8,7.4,6.2,1.0,1.0
1,2.0,New York Yanks,12.0,174.0,355.0,49.0,2653.0,29.0,8.2,26.0,7.3,82.0,8.2,6.5,16.6,221.1,73.6,30.0,241.0,7.8,6.9,5.4,1.0,1.0
2,3.0,Detroit Lions,12.0,176.0,403.0,43.7,2404.0,22.0,5.5,29.0,7.2,82.0,6.9,4.7,15.8,200.3,55.4,46.0,368.0,10.2,5.4,3.4,2.0,2.0
3,4.0,Baltimore Colts,12.0,206.0,438.0,47.0,2378.0,14.0,3.2,31.0,7.1,69.0,6.1,3.6,13.0,198.2,48.0,39.0,309.0,8.2,5.0,2.6,0.0,0.0
4,5.0,Washington Redskins,12.0,154.0,314.0,49.0,1985.0,18.0,5.7,25.0,8.0,74.0,6.7,4.2,13.6,165.4,56.7,14.0,108.0,4.3,6.1,3.7,,
5,6.0,Chicago Cardinals,12.0,165.0,368.0,44.8,1984.0,21.0,5.7,31.0,8.4,81.0,6.5,3.8,14.4,165.3,50.3,49.0,391.0,11.8,4.8,2.4,0.0,1.0
6,7.0,Chicago Bears,12.0,135.0,296.0,45.6,1787.0,5.0,1.7,24.0,8.1,70.0,6.5,3.2,14.3,148.9,39.1,18.0,140.0,5.7,5.7,2.6,0.0,1.0
7,8.0,Philadelphia Eagles,12.0,121.0,285.0,42.5,1686.0,15.0,5.3,28.0,9.8,75.0,6.4,3.1,15.2,140.5,42.3,19.0,150.0,6.3,5.5,2.4,1.0,2.0
8,9.0,Cleveland Browns,12.0,139.0,260.0,53.5,1679.0,15.0,5.8,21.0,8.1,80.0,7.6,5.2,14.3,139.9,64.0,38.0,305.0,12.8,5.6,3.5,2.0,2.0
9,10.0,Pittsburgh Steelers,12.0,100.0,255.0,39.2,1646.0,10.0,3.9,29.0,11.4,78.0,6.8,2.4,17.3,137.2,36.5,10.0,83.0,3.8,6.2,2.0,,
10,11.0,San Francisco 49ers,12.0,164.0,326.0,50.3,1550.0,14.0,4.3,25.0,7.7,50.0,5.8,3.2,11.4,129.2,50.3,41.0,325.0,11.2,4.2,1.9,0.0,1.0
11,12.0,Green Bay Packers,12.0,140.0,367.0,38.1,1504.0,14.0,3.8,37.0,10.1,96.0,5.0,1.2,13.1,125.3,27.8,41.0,327.0,10.0,3.7,0.3,1.0,1.0
12,13.0,New York Giants,12.0,81.0,187.0,43.3,1071.0,12.0,6.4,10.0,5.3,47.0,7.2,6.0,16.5,89.3,67.1,33.0,267.0,15.0,4.9,3.9,3.0,3.0
13,,Avg Team,,154.5,331.3,46.6,1988.9,16.9,5.1,26.4,8.0,74.0,6.7,4.2,14.5,165.7,52.9,30.8,245.7,8.5,5.49,3.1,0.8,1.2
14,,League Total,,2008.0,4307.0,46.6,25856.0,220.0,5.1,343.0,8.0,96.0,6.7,4.2,14.5,165.7,52.9,401.0,3194.0,8.5,5.49,3.1,11.0,15.0
15,,Avg Tm/G,,12.9,27.6,46.6,165.7,1.4,5.1,2.2,8.0,,6.7,4.2,14.5,165.7,52.9,2.6,20.5,8.5,5.49,3.1,,
